"address","lon","lat","as.character.d.display_name.","elapsed_time"
" Hegedus Gyula utca Budapest XIII. kerület",19.0572355,47.5196021,"Hegedus Gyula utca, Újlipótváros, XIII. kerület, Budapest, Közép-Magyarország, 1132, Magyarország",0.250779867172241
" Alsórákos Budapest XIV. kerület",19.1282801,47.5251778,"Alsórákos, XIV. kerület, Budapest, Közép-Magyarország, Magyarország",0.269381999969482
" Liget utca Budapest X. kerület",19.1864263,47.4537806,"Liget utca, Lónyaytelep, XVIII. kerület, Budapest, Közép-Magyarország, 1183, Magyarország",0.283346891403198
" Aradi utca Budapest VI. kerület",19.0677861,47.5095832,"Aradi utca, Terézváros, VI. kerület, Budapest, Közép-Magyarország, 1064, Magyarország",0.264088869094849
" II/A kerület – Máriaremete Budapest II. kerület",NA,NA,NA,0.283473968505859
" Madách Imre út 3. Budapest VII. kerület",19.0577464,47.4977346,"My Little Melbourne, 3, Madách Imre út, Erzsébetváros, VII. kerület, Budapest, Közép-Magyarország, 1075, Magyarország",0.283493995666504
" Rákoskeresztúri lakótelep Budapest XVII. kerület",19.2357906639991,47.48293425,"Rákoskeresztúri református templom, 31, Pesti út, Rákoskeresztúr lakótelep, Rákoskeresztúr, XVII. kerület, Budapest, Közép-Magyarország, 1173, Magyarország",0.258435964584351
" Mátyás tér Budapest VIII. kerület",19.0797517414564,47.49196545,"Mátyás tér, Magdolna negyed, VIII. kerület, Budapest, Közép-Magyarország, 1084, Magyarország",0.275213956832886
" Ady Endre út Budapest XIX. kerület",19.1404147,47.4542706,"Ady Endre út, Kispest, XIX. kerület, Budapest, Közép-Magyarország, 1191, Magyarország",0.542687892913818
" Népszínház utca Budapest VIII. kerület",19.0736988,47.4955324,"Népszínház utca, Csarnok negyed, VIII. kerület, Budapest, Közép-Magyarország, 1081, Magyarország",0.259186983108521
" Király utca Budapest VI. kerület",19.0658057,47.5034778,"Király utca, Terézváros, VI. kerület, Budapest, Közép-Magyarország, 1073, Magyarország",0.522566080093384
" Madárhegy Budapest XI. kerület",18.9885881,47.4677382,"Madárhegy, XI. kerület, Budapest, Közép-Magyarország, Magyarország",0.276593923568726
" Tavas utca Budapest X. kerület",19.1674434,47.4701815,"Tavas utca, Újhegy, X. kerület, Budapest, Közép-Magyarország, 1108, Magyarország",0.260319948196411
" Berda József utca Budapest IV. kerület",19.0874263,47.5556693,"Berda József utca, Pozsonyi utcai lakótelep, Újpest, IV. kerület, Budapest, Közép-Magyarország, 1043, Magyarország",0.262940168380737
" Angyalföld – Béke–Tatai utcai lakótelep Budapest XIII. kerület",NA,NA,NA,0.366080045700073
" Bimbó út Budapest II. kerület",19.0245658,47.5165139,"Bimbó út, Rózsadomb, II. kerület, Budapest, Közép-Magyarország, 1022, Magyarország",0.274677038192749
" Gazdagrét Budapest XI. kerület",18.9989914,47.4702468,"Gazdagrét, XI. kerület, Budapest, Közép-Magyarország, Magyarország",0.253226041793823
" Rózsa utca Budapest VII. kerület",19.0695808,47.5071646,"Rózsa utca, Terézváros, VI. kerület, Budapest, Közép-Magyarország, 1064, Magyarország",0.271813154220581
" Rákóczi út Budapest XVI. kerület",19.1567973,47.5246656,"Rákóczi út, Pálya utcai lakótelep, Rákosszentmihály, XVI. kerület, Budapest, Közép-Magyarország, 1161, Magyarország",0.274039030075073
" Villányi út Budapest XI. kerület",19.0438756,47.4782665,"Villányi út, Szentimreváros, XI. kerület, Budapest, Közép-Magyarország, 1114, Magyarország",0.266381978988647
" Garas utca Budapest II. kerület",19.019636,47.5116444,"Garas utca, Országút, II. kerület, Budapest, Közép-Magyarország, 1022, Magyarország",0.263648986816406
" Havanna-lakótelep Budapest XVIII. kerület",19.1669224,47.4387135,"Havanna-lakótelep, XVIII. kerület, Budapest, Közép-Magyarország, 1181, Magyarország",0.256170988082886
" Józsefváros – Corvinnegyed Budapest VIII. kerület",NA,NA,NA,0.26665997505188
" Kobánya-Városközpont Budapest X. kerület",19.1299193012022,47.48298115,"PS Kobánya Városközpont, Kobányai út, Óhegy, X. kerület, Budapest, Közép-Magyarország, 1102, Magyarország",0.282137155532837
" Havanna-lakótelep Budapest XVIII. kerület",19.1669224,47.4387135,"Havanna-lakótelep, XVIII. kerület, Budapest, Közép-Magyarország, 1181, Magyarország",0.271928787231445
" Laposdulo Budapest X. kerület",19.1144828,47.4927492,"Laposdulo, X. kerület, Budapest, Közép-Magyarország, 1101, Magyarország",0.263104915618896
" Külso-Erzsébetváros Budapest VII. kerület",NA,NA,NA,0.629089117050171
" Bulcsú utca Budapest VI. kerület",19.0653796,47.5166358,"Bulcsú utca, Terézváros, VI. kerület, Budapest, Közép-Magyarország, 1062, Magyarország",0.418123006820679
" Külso Szilágyi út 10. Budapest IV. kerület",19.11511,47.5799,"10, Külso Szilágyi út, Káposztásmegyer, IV. kerület, Budapest, Közép-Magyarország, 1048, Magyarország",0.511826992034912
" Baross tér Budapest VII. kerület",19.0814339,47.5004399,"Baross tér, Ligetváros, Erzsébetváros, VII. kerület, Budapest, Közép-Magyarország, 1076, Magyarország",0.28543496131897
" Kökörcsin utca Budapest XI. kerület",19.0337799,47.4751587,"Kökörcsin utca, Nádorliget-lakópark, Kelenföld, XI. kerület, Budapest, Közép-Magyarország, 1113, Magyarország",0.262552976608276
" Sárkány utca Budapest VIII. kerület",19.0910715,47.4851785,"Sárkány utca, Orczy negyed, VIII. kerület, Budapest, Közép-Magyarország, 1089, Magyarország",0.267058134078979
" Pasarét Budapest II. kerület",18.9973722,47.5202876,"Pasarét, II. kerület, Budapest, Közép-Magyarország, 1280, Magyarország",0.247982978820801
