"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "legkondicionalo" "parkolohely_ara" "panelprogram"
"1" "29.9" "63" "2" " 14. kerület, Hungária körút " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "4" "van" "nincs megadva" "házközponti" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "4.6 m²" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"2" "43" "66" "3" " 9. kerület, Drégely utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "külön helyiségben" "délkelet" "utcai" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "35 000 Ft/hó" NA NA NA
"3" "24.9" "53" "2" " 19. kerület, Sós utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "kelet" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"4" "20.95" "29" "1" " 20. kerület, Erzsébetfalva " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m-nél alacsonyabb" "egyéb kazán" "igen" "egy helyiségben" "kelet" "utcai" NA "igen" "nem tetotéri" "utca, közterület - ingyenes" "20 000 Ft/hó" "nincs" NA NA
"5" "109" "105" "3" " 5. kerület, Semmelweis utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "északkelet" "utcai" NA "nem" "nem tetotéri" "nincs megadva" NA NA NA NA
"6" "95.9" "104" "4" " 11. kerület, Bikszádi utca 56. " "újszeru" "2019" "duplakomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko), padlófutés" "nem" "külön helyiségben" "dél" "panorámás" "10 m²" "nem" "tetotéri" "udvari beálló - megvásárolható" NA NA "2 M Ft" NA
"7" "130" "125" "3" " 7. kerület, Kazinczy utca " "újszeru" "2001-2010 között" "nincs megadva" "nincs megadva" "5" "5" "van" "nincs megadva" "nincs megadva" "nincs megadva" "külön és egyben is" "nincs megadva" "panorámás" NA "nincs megadva" "tetotéri" "nincs megadva" NA "van" NA NA
"8" "42.9" "63" "2" " 7. kerület, Wesselényi utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön és egyben is" "kelet" "nincs megadva" NA "nincs megadva" "nincs megadva" "utca, közterület" "11 000 Ft/hó" NA NA NA
"9" "42.9" "71" "2" " 8. kerület, Práter utca 34. " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" "13 000 Ft/hó" "nincs" NA NA
"10" "84.9" "115" "4" " 6. kerület, Teréz körút " "felújítandó" NA "nincs megadva" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA "nincs" NA NA
