"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "erkely" "panelprogram" "parkolohely_ara"
"1" "45.9" "57" "1" " 11. kerület, Szabolcska Mihály utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "északkelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"2" "66" "76" "3" " 2. kerület, Bem József utca " "felújított" NA "összkomfortos" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "házközponti" "nem" "egy helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "nincs megadva" "nincs" "40 000 Ft/hó" NA NA NA
"3" "39.9" "56" "2" " 6. kerület, Izabella utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "nyugat" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" "van" NA NA NA NA
"4" "22.48" "37" "1" " 20. kerület, Baross utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "van" "25 000 Ft/hó" "4 m²" "nem vett részt" NA
"5" "50.5" "73" "3" " 19. kerület, Kispest-Óváros " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "nincs megadva" "délkelet" "kertre nézo" "nem" "nem tetotéri" "önálló garázs - megvásárolható" NA NA "23 m²" NA NA
"6" "29.9" "44" "1" " 11. kerület, Karolina út " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "egyéb" "nem" "külön helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA "3 m²" NA NA
"7" "32" "53" "2" " 11. kerület, Kelenföld " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "5" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "nyugat" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA NA "nem vett részt" NA
"8" "18.9" "38" "1" " 4. kerület, Nádor utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "nincs megadva" "gáz (konvektor)" "igen" "külön helyiségben" "délkelet" "utcai" "igen" "nincs megadva" "utca, közterület" NA NA NA NA NA
"9" "29.9" "49" "2" " 14. kerület, Alsórákos " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "kertre nézo" "nincs megadva" "nem tetotéri" "önálló garázs - megvásárolható" NA NA "5 m²" NA NA
"10" "149" "177" "4" " 3. kerület, Királylaki út " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "1" "2" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "panorámás" "nem" "tetotéri" "önálló garázs - benne van az árban" NA NA "33 m²" NA NA
