"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "rezsikoltseg" "panelprogram"
"1" "89.9" "105" "4" " 14. kerület, Bazsarózsa utca " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "hoszivattyú, padlófutés" "van" "nem" "külön helyiségben" "délkelet" "kertre nézo" "30 m²" "igen" "nem tetotéri" "önálló garázs - megvásárolható" "3 M Ft" NA NA
"2" "139.9" "102" "4" " 1. kerület, Víziváros " "felújított" "1950 elott" "luxus" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "nincs megadva" "nincs megadva" "panorámás" "2 m²" "nem" "tetotéri" "utca, közterület" NA NA NA
"3" "26.99" "52" "2" " 3. kerület, Kaszásduloi lakótelep " "felújítandó" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "kelet" "utcai" NA "nem" "nincs megadva" "utca, közterület - ingyenes" NA "25 000 Ft/hó" "nem vett részt"
"4" "88.1" "180" "5" " 8. kerület, Fecske utca " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "északkelet" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA "20 000 Ft/hó" NA
"5" "29.9" "49" "2" " 14. kerület, Vezseny utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "délnyugat" "kertre nézo" "5 m²" "nincs megadva" "nem tetotéri" "önálló garázs - megvásárolható" "4.5 M Ft" "13 000 Ft/hó" NA
"6" "33" "48" "2" " 3. kerület, Vörösvári út " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "dél" "panorámás" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva"
"7" "190" "102" "2" " 5. kerület, Sas utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "2" "3" "nincs" "nincs megadva" "gáz (cirko)" "van" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA
"8" "85.5" "97" "2" " 2. kerület, Bimbó út " "közepes állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "dél" "nincs megadva" "14 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"9" "69.9" "83" "2" " 2. kerület, Víziváros " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "5" "6" "van" "nincs megadva" "gáz (cirko)" "van" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "15 m²" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" NA "50 000 Ft/hó" NA
"10" "41.8" "62" "3" " 14. kerület, Alsórákos " "nincs megadva" "2001-2010 között" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nem" "egy helyiségben" "északkelet" "kertre nézo" "8 m²" "nem" "nincs megadva" "udvari beálló - benne van az árban" NA NA NA
"11" "47.3" "67" "2" " 8. kerület, József körút " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "van" "nincs megadva" "házközponti" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"12" "94.9" "107" "3" " 2. kerület, Hárshegyi út " "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" NA "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "17 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"13" "27.8" "37" "1" " 8. kerület, Kiss József utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "egy helyiségben" "nincs megadva" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"14" "24.99" "39" "1" " 9. kerület, Epreserdo utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "4" "nincs" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" NA "utca, közterület - ingyenes" NA NA NA
"15" "27.6" "37" "1" " 13. kerület, Fiastyúk utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs megadva" "nincs megadva" "házközponti" "van" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA
"16" "33.5" "74" "2" " 8. kerület, Baross utca " "felújítandó" NA "összkomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "20 000 Ft/hó" NA
"17" "70.9" "102" "2" " 7. kerület, Dohány utca " "felújítandó" NA "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA
"18" "109" "80" "2" " 2. kerület, Kapás utca " "felújított" "1950 elott" "luxus" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "kelet" "utcai" "5.13 m²" "nem" "nem tetotéri" "udvari beálló - bérelheto" NA "30 000 Ft/hó" NA
"19" "73" "71" "3" " 11. kerület, Maléter Pál utca " "felújított" "2001-2010 között" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nincs megadva" "egy helyiségben" "északnyugat" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" "5 M Ft" NA NA
"20" "46" "52" "2" " 9. kerület, Középso-Ferencváros – Rehabilitációs terület " "nincs megadva" "2001-2010 között" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m-nél alacsonyabb" "házközponti" NA "nincs megadva" "külön helyiségben" "nyugat" "kertre nézo" "2 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - bérelheto" "15 000 Ft/hó" NA NA
