"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "rezsikoltseg" "erkely" "epites_eve" "legkondicionalo"
"1" "24.2" "35" "1" " 10. kerület, Somfa köz " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "38.4" "62" "2" " 9. kerület, Dési Huber utca " "jó állapotú" "komfortos" "nincs megadva" "3" "8" "nincs megadva" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "délnyugat" "nincs megadva" "nincs megadva" "nincs megadva" NA "utca, közterület" "30 000 Ft/hó" "4 m²" NA NA
"3" "49.9" "63" "1" " 12. kerület, Krisztinaváros " "közepes állapotú" "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "igen" "külön helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA NA "1950 elott" "van"
"4" "135.3" "124" "3.5" " 11. kerület, Madárhegy " "nincs megadva" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "nincs megadva" "nyugat" "kertre nézo" "igen" "nincs megadva" NA "teremgarázs hely" NA "43 m²" "2019" NA
"5" "100" "123" "4" " 11. kerület, Madárhegy " "nincs megadva" "duplakomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "kelet" "panorámás" "nem" "nem tetotéri" NA "teremgarázs hely" NA "60 m²" "2019" NA
"6" "110" "110" "3" " 11. kerület, Péterhegy " "nincs megadva" "duplakomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "nincs megadva" "délnyugat" "kertre nézo" "nincs megadva" "nem tetotéri" NA "teremgarázs hely" NA "82 m²" "2019" NA
"7" "72" "68" "1" " 11. kerület, Péterhegy " "nincs megadva" "duplakomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "nincs megadva" "északkelet" "kertre nézo" "igen" "nincs megadva" NA "nincs megadva" NA "29 m²" "2019" NA
"8" "72.9" "85" "3" " 12. kerület, Németvölgy " "felújított" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délkelet" "utcai" "nincs megadva" "nincs megadva" NA "utca, közterület" NA "6 m²" "1950 elott" NA
"9" "134.5" "131" "4" " 11. kerület, Madárhegy " "nincs megadva" "duplakomfortos" "nincs megadva" "földszint" "3" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "nincs megadva" "dél" "panorámás" "igen" "nincs megadva" NA "teremgarázs hely" NA "40 m²" "2019" NA
"10" "25.8" "35" "1" " 10. kerület, Gergely utca " "felújított" "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "kelet" "kertre nézo" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA
"11" "89" "86" "4" " 11. kerület, Madárhegy " "nincs megadva" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "nincs megadva" "délnyugat" "kertre nézo" "igen" "nem tetotéri" NA "teremgarázs hely" NA "38 m²" "2019" NA
"12" "53" "67" "3" " 3. kerület, Rómaifürdo – Pók utcai lakótelep " "jó állapotú" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA "6 m²" "1981-2000 között" NA
"13" "44.7" "43" "2" " 5. kerület, Havas utca " "felújított" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "északnyugat" "udvari" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "8 000 Ft/hó" "4 m²" "1950 elott" "nincs"
"14" "44.9" "47" "1" " 9. kerület, Vaskapu utca " "újszeru" "nincs megadva" "nincs megadva" "6" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "egy helyiségben" "nyugat" "udvari" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA "10 m²" "2001-2010 között" "nincs"
"15" "38" "44" "1" " 13. kerület, Frangepán utca 28. " "újszeru" "nincs megadva" "nincs megadva" "2" "6" "van" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA "2 m²" "2019" NA
"16" "28" "53" "2" " 4. kerület, Nyár utca 30. " "nincs megadva" "összkomfortos" "nincs megadva" "2" "10" "van" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "nyugat" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "4 m²" "1981-2000 között" "van"
"17" "47.5" "56" "2" " 9. kerület, Vendel utca " "felújított" "összkomfortos" "nincs megadva" "földszint" "4" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "északnyugat" "kertre nézo" "nincs megadva" "nincs megadva" NA "teremgarázs hely - bérelheto" "30 000 Ft/hó" NA "2001-2010 között" NA
"18" "102" "86" "3" " 5. kerület, Alkotmány utca " "felújított" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" NA "utca, közterület" NA NA "1950 elott" NA
"19" "24.8" "36" "1" " 4. kerület, Külso Szilágyi út " "jó állapotú" "összkomfortos" "nincs megadva" "6" "8" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "egy helyiségben" "délnyugat" "panorámás" "nem" "nem tetotéri" "nincs megadva" "utca, közterület - ingyenes" NA "2 m²" "1981-2000 között" "nincs"
"20" "33.5" "64" "2" " 20. kerület, Helsinki út " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" NA "9 m²" NA NA
