"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "erkely" "panelprogram"
"1" "25.9" "25" "1" " 8. kerület, Dankó utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"2" "113" "70" "3" " 14. kerület, Cházár András utca " "újszeru" "2001-2010 között" "duplakomfortos" "nincs megadva" "7" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön és egyben is" "délnyugat" "panorámás" "igen" "legfelso emelet, nem tetotéri" "teremgarázs hely - benne van az árban" "van" "38 000 Ft/hó" "86 m²" NA
"3" "26.5" "51" "2" " 3. kerület, Füst Milán utca " "felújítandó" NA "összkomfortos" "nincs megadva" "1" "10" "van" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA "nincs megadva"
"4" "35.5" "57" "1" " 6. kerület, Munkácsy Mihály utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "dél" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"5" "31.9" "57" "1" " 8. kerület, Népszínház utca " "felújítandó" "1950 elott" "komfortos" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "dél" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA NA NA
"6" "43.63" "45" "2" " 7. kerület, Középso-Erzsébetváros " "nincs megadva" "2019" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "elektromos" "nincs megadva" "nincs megadva" "délkelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"7" "56.44" "63" "3" " 7. kerület, Középso-Erzsébetváros " "nincs megadva" "2019" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "elektromos" "nincs megadva" "nincs megadva" "délkelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"8" "46" "54" "2" " 2. kerület, Zöldmál " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "8" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA
"9" "28" "62" "2" " 21. kerület, Nyírfa utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "2 m²" "nincs megadva"
"10" "39" "71" "2" " 8. kerület, Kun utca " "jó állapotú" "1950 elott" "komfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "nincs megadva" "nem" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA
"11" "23.9" "33" "1" " 18. kerület, Ganztelep " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "24 m²" NA
"12" "24.9" "27" "1" " 3. kerület, Zápor utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "nincs megadva" "nincs megadva" "nincs megadva" "egy helyiségben" "kelet" "kertre nézo" "igen" "nem tetotéri" "utca, közterület - fizetos övezet" "van" "25 000 Ft/hó" NA NA
"13" "26" "39" "1" " 9. kerület, Epreserdo utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "nyugat" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "4.5 m²" NA
"14" "22.49" "35" "1" " 18. kerület, Havanna lakótelep " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA "nincs megadva"
"15" "33.9" "58" "2" " 14. kerület, Emília utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA "10 000 Ft/hó" "10 m²" NA
"16" "16.5" "32" "1" " 8. kerület, Baross utca " "közepes állapotú" "1950 elott" "komfortos" "nincs megadva" "földszint" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "igen" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" "25 000 Ft/hó" NA NA
"17" "37.9" "40" "1" " 13. kerület, Gergely Gyozo utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"18" "330" "146" "4" " 6. kerület, Andrássy út " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "3" "3" "van" "3 m vagy magasabb" "egyéb" "nincs megadva" "egy helyiségben" "északnyugat" "utcai" "nem" "nincs megadva" "utca, közterület - fizetos övezet" "nincs" NA "18 m²" NA
"19" "199" "134" "3" " 2. kerület, Pasarét " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "9 m²" NA
"20" "215" "94" "3" " 6. kerület, Andrássy út " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "3" "3" "van" "3 m vagy magasabb" "egyéb" "nincs megadva" "egy helyiségben" "dél" "udvari" "nem" "nincs megadva" "utca, közterület - fizetos övezet" "nincs" NA "10 m²" NA
