"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "parkolohely_ara" "legkondicionalo" "panelprogram" "lakopark_neve"
"1" "165" "165" "6" " 2. kerület, Hárshegy " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "egyéb" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "39 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"2" "62.9" "100" "3" " 7. kerület, Középso-Erzsébetváros " "felújítandó" "1950-1980 között" "komfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "délkelet" "udvari" NA "nincs megadva" "nem tetotéri" "udvari beálló - benne van az árban" "15 000 Ft/hó" NA NA NA NA
"3" "141.6" "95" "3" " 11. kerület, Madárhegy " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "2" "3" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "panorámás" "66 m²" "nincs megadva" "penthouse" "udvari beálló - megvásárolható" NA "2 M Ft" NA NA NA
"4" "150" "165" "5" " 2. kerület, Hárshegy " "felújított" "2001-2010 között" "duplakomfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "fan-coil" "nincs megadva" "külön és egyben is" "nincs megadva" "panorámás" NA "nincs megadva" "nincs megadva" "teremgarázs hely" NA NA NA NA NA
"5" "49.9" "66" "2" " 6. kerület, Külso-Terézváros " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "30 000 Ft/hó" NA NA NA NA
"6" "159" "130" "3" " 2. kerület, Lévay utca " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "59 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"7" "42.6" "58" "2" " 13. kerület, Göncöl utca " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "kelet" "utcai" "3 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"8" "80.12" "102" "4" " 6. kerület, Csengery utca 86. " "felújított" NA "duplakomfortos" "nincs megadva" "1" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "északkelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA "van" NA NA
"9" "54.9" "69" "2" " 8. kerület, Horánszky utca 8. " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "nyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "25 000 Ft/hó" NA "nincs" NA NA
"10" "166.09" "159" "4" " 13. kerület, Párkány utca " "nincs megadva" "2014" "luxus" "nincs megadva" "6" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "121 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"11" "26.9" "37" "1" " 13. kerület, Hegedus Gyula utca " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "4" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "igen" "nincs megadva" "utca, közterület" NA NA NA NA NA
"12" "61.9" "80" "2" " 6. kerület, Aradi utca 31. " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délkelet" "udvari" NA "nincs megadva" "nem tetotéri" "utca, közterület" "35 000 Ft/hó" NA NA NA NA
