"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "parkolohely_ara" "panelprogram"
"1" "59" "65" "2" " 11. kerület, Szentimreváros " "jó állapotú" "1950-1980 között" "komfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "elektromos" "9 000 Ft/hó" "nincs megadva" "külön helyiségben" "északkelet" "utcai" "2.5 m²" "nem" "nem tetotéri" "udvari beálló" NA NA NA
"2" "31.9" "37" "1" " 13. kerület, Reitter Ferenc utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor), elektromos" NA "nem" "külön helyiségben" "nyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"3" "9.9" "55" "2" " 18. kerület, Bókaytelep " "jó állapotú" NA "összkomfortos" "nincs megadva" "félemelet" "földszintes" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA "nem" "nincs megadva" "délnyugat" "kertre nézo" NA "nem" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA
"4" "500.76" "431" "17" " 8. kerület, Józsefváros – Palotanegyed " "felújított" NA "duplakomfortos" "nincs megadva" "5" "5" "van" "nincs megadva" "nincs megadva" NA "nincs megadva" "külön és egyben is" "nincs megadva" "panorámás" "77.16 m²" "nincs megadva" "penthouse" "utca, közterület - fizetos övezet" "van" NA NA
"5" "33.5" "35" "1" " 2. kerület, Lövoház utca " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" NA "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"6" "68.9" "104" "3" " 7. kerület, Kertész utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délkelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"7" "73" "79" "4" " 14. kerület, Alsórákos " "újszeru" "2001-2010 között" "duplakomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "igen" "külön és egyben is" "délkelet" "kertre nézo" "8.7 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "van" "5 M Ft" NA
"8" "450" "347" "12" " 7. kerület, Belso-Erzsébetváros " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"9" "27.5" "32" "1" " 7. kerület, Külso-Erzsébetváros – Ligetváros " "felújított" NA "összkomfortos" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"10" "84" "128" "7" " 22. kerület, Nagytétény " "nincs megadva" NA "duplakomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "egyéb" NA "nincs megadva" "nincs megadva" "északkelet" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
