"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "erkely" "panelprogram"
"1" "29.5" "53" "2" " 7. kerület, Damjanich utca " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nincs megadva" "külön helyiségben" "északkelet" "utcai" "nem" "nincs megadva" "utca, közterület" NA NA NA
"2" "34.9" "75" "3" " 14. kerület, Dongó utca " "felújítandó" "1981-2000 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" NA "utca, közterület - ingyenes" NA NA NA
"3" "31.97" "48" "1" " 17. kerület, Tápiógyörgye utca " "felújított" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nem" "külön helyiségben" "nincs megadva" "panorámás" "nem" "tetotéri" "udvari beálló - benne van az árban" "23 000 Ft/hó" "4 m²" NA
"4" "41.9" "37" "2" " 6. kerület, Külso-Terézváros " "felújított" NA "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"5" "27.5" "45" "1" " 20. kerület, Baross utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "távfutés" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "nincs megadva"
"6" "57" "57" "2" " 12. kerület, Zugliget " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "dél" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "5 m²" NA
"7" "32.5" "42" "2" " 8. kerület, Józsefváros – Magdolnanegyed " "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "6" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nincs megadva" "teremgarázs hely - bérelheto" NA "5 m²" NA
"8" "79.1" "83" "2" " 6. kerület, Vasvári Pál utca 3. " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "30 000 Ft/hó" "2 m²" NA
"9" "20.9" "35" "1" " 21. kerület, Csepel-Csillagtelep – Rakéta utcai lakótelep " "közepes állapotú" NA "összkomfortos" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "délkelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA
"10" "34" "38" "2" " 1. kerület, Feszty Árpád utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "6" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "egy helyiségben" "dél" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" "25 000 Ft/hó" "3 m²" NA
