"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "erkely" "panelprogram" "rezsikoltseg"
"1" "41.5" "65" "1" " 16. kerület, Rákosszentmihály " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "165" "150" "4" " 13. kerület, Újpesti rakpart " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "4" "6" "van" "3 m vagy magasabb" "gáz (cirko)" "igen" "külön helyiségben" "északkelet" "panorámás" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "van" "3 m²" NA NA
"3" "165" "150" "4" " 13. kerület, Újlipótváros " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "4" "6" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "északkelet" "panorámás" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "van" "3 m²" NA NA
"4" "38.5" "74" "3" " 8. kerület, Vajda Péter utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "udvari beálló" NA NA NA NA
"5" "31.9" "66" "3" " 3. kerület, Kabar utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA "részt vett" NA
"6" "60" "100" "3" " 9. kerület, Belso-Ferencváros " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"7" "24.5" "36" "1" " 4. kerület, Farkaserdo utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "külön helyiségben" "délnyugat" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" "van" NA "nem vett részt" NA
"8" "29.9" "33" "1" " 11. kerület, Etele út " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "dél" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "nincs megadva" NA
"9" "115" "120" "4" " 1. kerület, Vám utca " "újszeru" "1950 elott" "duplakomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "nincs megadva" "nem" "egy helyiségben" "nincs megadva" "utcai" "nem" "nincs megadva" "utca, közterület" "van" "2 m²" NA NA
"10" "98" "140" "4" " 2. kerület, Honvéd utca " "jó állapotú" NA "duplakomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gázkazán" "nem" "külön és egyben is" "délnyugat" "panorámás" "igen" "nem tetotéri" "udvari beálló - benne van az árban" "nincs" "18 m²" NA NA
