"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "parkolohely_ara"
"1" "37.5" "75" "3" " 19. kerület, Kisfaludy utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "nincs megadva" "3" "nincs" "3 m-nél alacsonyabb" "távfutés" "van" "50 000 Ft/hó" "nem" "egy helyiségben" "nincs megadva" "utcai" "3 m²" "nem" "legfelso emelet, nem tetotéri" "nincs megadva" "utca, közterület" NA
"2" "61.4" "109" "3" " 3. kerület, Pusztakúti út " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "földszint" "3" "van" "3 m-nél alacsonyabb" "házközponti" NA NA "nem" "külön és egyben is" "kelet" "kertre nézo" "81 m²" "igen" "nem tetotéri" NA "önálló garázs - megvásárolható" NA
"3" "42.9" "73" "2" " 8. kerület, Teleki László tér " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" NA NA "nincs megadva" "nincs megadva" "északnyugat" "utcai" "4 m²" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA
"4" "31.9" "55" "2" " 14. kerület, Szugló utca " "jó állapotú" "1950 elott" "komfortos" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "gázkazán" "van" "18 000 Ft/hó" "nem" "egy helyiségben" "délnyugat" "udvari" NA "nem" "nem tetotéri" NA "utca, közterület - ingyenes" NA
"5" "56.31" "69" "3" " 13. kerület, Reitter Ferenc utca 68. " "nincs megadva" "2019" "nincs megadva" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "házközponti, gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "14.01 m²" "nem" "nem tetotéri" NA "teremgarázs hely - megvásárolható" "3.5 M Ft"
"6" "57.24" "74" "3" " 13. kerület, Reitter Ferenc utca 68. " "nincs megadva" "2019" "nincs megadva" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "házközponti, gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "6.28 m²" "nem" "nem tetotéri" NA "teremgarázs hely - megvásárolható" "3.5 M Ft"
"7" "45" "60" "2" " 1. kerület, Víziváros – Váralja " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA NA "nem" "egy helyiségben" "észak" "panorámás" "2 m²" "nem" "nem tetotéri" NA "utca, közterület" NA
"8" "59" "95" "3" " 8. kerület, Józsefváros – Corvinnegyed " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" NA "nem" "egy helyiségben" "kelet" "utcai" NA "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA
"9" "29" "54" "2" " 15. kerület, Zsókavár utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA NA "igen" "külön helyiségben" "nincs megadva" "kertre nézo" "3 m²" "nincs megadva" "nem tetotéri" "részt vett" "utca, közterület - ingyenes" NA
"10" "70" "118" "3" " 16. kerület, Vízesés utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA
