"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "panelprogram" "rezsikoltseg" "lakopark_neve"
"1" "180.88" "89" "4" " 2. kerület, Vérhalom utca " "nincs megadva" "2019" "duplakomfortos" "nincs megadva" "2" "3" "van" "3 m-nél alacsonyabb" "nincs megadva" "van" "igen" "külön és egyben is" "délkelet" "kertre nézo" "22.37 m²" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" "6 M Ft" NA NA NA
"2" "47.9" "62" "3" " 2. kerület, Muraközi utca " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nyugat" "udvari" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"3" "38.5" "74" "3" " 8. kerület, Tisztviselotelep " "nincs megadva" NA "összkomfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "külön helyiségben" "délnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "udvari beálló" NA NA NA NA
"4" "17.95" "29" "1" " 8. kerület, Baross utca " "jó állapotú" "1950 elott" "komfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"5" "21.2" "30" "1" " 7. kerület, Százház utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "elektromos" NA "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA
"6" "42.5" "65" "2" " 7. kerület, Damjanich utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "5" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"7" "25.9" "55" "2" " 17. kerület, Rákoskeresztúri lakótelep " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "van" "nem" "külön helyiségben" "délnyugat" "utcai" "4 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "nincs megadva" NA NA
"8" "250.8" "134" "3" " 5. kerület, Vörösmarty tér " "újszeru" "2001-2010 között" "luxus" "nincs megadva" "3" "5" "van" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" NA "nem" "nincs megadva" "teremgarázs hely - megvásárolható" "13.8 M Ft" NA NA NA
"9" "32.9" "49" "1" " 2. kerület, Szemlohegy " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "nincs megadva" "nincs" "nem" "külön helyiségben" "nincs megadva" "kertre nézo" NA "igen" "nem tetotéri" "utca, közterület - ingyenes" NA NA "15 000 Ft/hó" NA
"10" "158" "220" "4" " 2. kerület, Törökvész " "jó állapotú" "1981-2000 között" "duplakomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nem" "külön helyiségben" "nincs megadva" "panorámás" NA "igen" "nem tetotéri" "önálló garázs - benne van az árban" NA NA NA NA
