"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "erkely" "rezsikoltseg" "panelprogram"
"1" "56.9" "117" "3" " 8. kerület, Baross utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "1" "3" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "162.58" "133" "4" " 6. kerület, Paulay Ede utca " "újszeru" "2001-2010 között" "duplakomfortos" "nincs megadva" "1" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "dél" "udvari" "nem" NA "teremgarázs hely - kötelezo megvenni" "van" "6 m²" NA NA
"3" "269" "199" "5" " 1. kerület, Víziváros – Váralja " "újszeru" "1981-2000 között" "duplakomfortos" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko), falfutés" "nem" "egy helyiségben" "dél" "panorámás" "nem" "tetotéri" "teremgarázs hely - benne van az árban" "van" "12 m²" "55 000 Ft/hó" NA
"4" "43.9" "54" "2" " 6. kerület, Király utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"5" "26.27" "52" "2" " 9. kerület, Külso-Ferencváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "északkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"6" "149" "77" "3" " 5. kerület, Fehér Hajó utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "dél" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"7" "45.9" "63" "2" " 12. kerület, Alkotás utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "házközponti" "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA "1 m²" NA NA
"8" "45.9" "68" "2" " 3. kerület, Törökko – Gyógyszergyár utcai lakótelep " "jó állapotú" NA "nincs megadva" "nincs megadva" "3" "4" "nincs megadva" "nincs megadva" "házközponti" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" NA "4 m²" NA "nincs megadva"
"9" "27.9" "51" "2" " 3. kerület, Kaszásduloi lakótelep " "jó állapotú" NA "nincs megadva" "nincs megadva" "nincs megadva" "10" "van" "nincs megadva" "távfutés" "igen" "külön helyiségben" "kelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA "4 m²" NA "nincs megadva"
"10" "30.9" "53" "1" " 14. kerület, Alsórákos " "felújítandó" "1981-2000 között" "nincs megadva" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "kelet" "utcai" "igen" "nincs megadva" "önálló garázs - benne van az árban" "nincs" NA NA NA
"11" "26.5" "47" "2" " 17. kerület, Pesti út " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "5" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"12" "32.8" "41" "2" " 13. kerület, Angyalföld " "felújított" NA "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"13" "31.9" "58" "2" " 4. kerület, Káposztásmegyer I. lakótelep " "nincs megadva" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "9" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "külön helyiségben" "délnyugat" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "van" "3 m²" "8 000 Ft/hó" "nincs megadva"
"14" "22.9" "34" "1" " 10. kerület, Kobánya – Újhegy " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "egy helyiségben" "délnyugat" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA "35 000 Ft/hó" "nem vett részt"
"15" "67" "103" "3" " 14. kerület, Istvánmezo " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nem" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA
"16" "56.9" "107" "3" " 8. kerület, Józsefváros – Corvinnegyed " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "nincs megadva" "nincs megadva" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"17" "41.5" "70" "2" " 8. kerület, Józsefváros – Corvinnegyed " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs megadva" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nem" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA
"18" "118.9" "75" "2" " 1. kerület, Hunyadi János út " "felújított" NA "komfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" "2.2 m²" NA NA
"19" "24.9" "35" "1" " 4. kerület, Árpád út " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA "8 000 Ft/hó" "nincs megadva"
"20" "69.5" "118" "4" " 8. kerület, Józsefváros – Népszínháznegyed " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "5" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
