"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "epites_eve" "lakopark_neve" "parkolohely_ara" "rezsikoltseg"
"11" "40.95" "42" "1" " 9. kerület, BB Házak " "új építésu" "összkomfortos" "nincs megadva" "6" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" "nincs" "igen" "egy helyiségben" "nyugat" "kertre nézo" "5.84 m²" "nincs megadva" "nincs megadva" NA "teremgarázs hely - megvásárolható" "2020" "BB Házak" "5 M Ft" NA
"12" "33.9" "42" "2" " 13. kerület, Gyermek tér " "felújított" "összkomfortos" "nincs megadva" "félemelet" "2" "nincs megadva" "3 m-nél alacsonyabb" "nincs" NA "nem" "külön helyiségben" "délkelet" "kertre nézo" NA "nincs megadva" "nem tetotéri" NA "udvari beálló - benne van az árban" NA NA NA NA
"13" "48" "50" "2" " 9. kerület, Belso-Ferencváros " "felújított" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "van" "3 m-nél alacsonyabb" "elektromos" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "nincs megadva" "1950 elott" NA NA NA
"14" "61.2" "70" "3" " 13. kerület, Csángó utca 21/b " "új építésu" "duplakomfortos" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés, hoszivattyú" "van" "nincs megadva" "külön és egyben is" "északkelet" "utcai" "8 m²" "nincs megadva" "nincs megadva" NA "teremgarázs hely - megvásárolható" "2020" NA "2.9 M Ft" NA
"15" "38.5" "74" "2" " 8. kerület, Tisztviselotelep " "felújított" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "igen" "külön helyiségben" "kelet" "utcai" "5 m²" "nincs megadva" "nincs megadva" NA "udvari beálló - benne van az árban" "1950-1980 között" NA NA "25 000 Ft/hó"
"16" "42.9" "54" "2" " 2. kerület, Törökvész út " "jó állapotú" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "házközponti" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "5 m²" "nincs megadva" NA NA "udvari beálló - benne van az árban" "1981-2000 között" NA NA NA
"17" "42.9" "54" "2" " 2. kerület, Törökvész út " "jó állapotú" "összkomfortos" "CC" "10" "10" "van" "3 m-nél alacsonyabb" "házközponti" "van" "nem" "külön helyiségben" "kelet" "panorámás" NA "nem" NA NA "udvari beálló - benne van az árban" "1950-1980 között" NA NA "38 000 Ft/hó"
"18" "50" "59" "2" " 7. kerület, Wesselényi utca " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "van" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" NA "nincs megadva" NA NA NA NA
"19" "25.9" "37" "1" " 6. kerület, Székely Bertalan utca " "közepes állapotú" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "nincs megadva" NA "igen" "egy helyiségben" "nyugat" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "utca, közterület" NA NA NA NA
"20" "69.8" "84" "4" " 13. kerület, Zsinór utca 39. " "nincs megadva" "duplakomfortos" "nincs megadva" "1" "7" "van" "3 m-nél alacsonyabb" "nincs megadva" "nincs" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "15.65 m²" "nem" "nem tetotéri" NA "teremgarázs hely - megvásárolható" "2020" NA "3.5 M Ft" NA
