"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "lakopark_neve" "rezsikoltseg" "panelprogram"
"1" "79.99" "82" "4" " 13. kerület, Petneházy utca 68. " "új építésu" "2018" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "házközponti" "van" "igen" "külön helyiségben" "délnyugat" "udvari" "12 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "4.25 M Ft" NA NA NA
"2" "50" "41" "2" " 13. kerület, Petneházy utca 68. " "új építésu" "2018" "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m-nél alacsonyabb" "házközponti" "van" "igen" "egy helyiségben" "északkelet" "udvari" "11 m²" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" "4.25 M Ft" NA NA NA
"3" "38.9" "57" "3" " 4. kerület, K74 " "új építésu" "2020" "összkomfortos" "nincs megadva" "1" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "79.94 m²" "nem" "nincs megadva" "udvari beálló - megvásárolható" "2 M Ft" "K74" NA NA
"4" "57.9" "94" "3" " 9. kerület, Angyal utca " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"5" "67.9" "65" "3" " 6. kerület, Bajcsy-Zsilinszky út " "felújított" NA "összkomfortos" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "nincs megadva" "van" "nincs megadva" "egy helyiségben" "nincs megadva" "panorámás" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"6" "24.7" "29" "1" " 8. kerület, Józsefváros – Magdolnanegyed " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "elektromos" "nincs" "nem" "egy helyiségben" "délkelet" "udvari" NA "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"7" "41.5" "68" "2" " 19. kerület, Kispest-Óváros " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "3 m²" "nem" "nem tetotéri" "udvari beálló - megvásárolható" "2.5 M Ft" NA NA NA
"8" "94.9" "104" "2" " 7. kerület, Rumbach Sebestyén utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "egy helyiségben" "nincs megadva" "udvari" NA "nem" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA
"9" "28.99" "41" "1" " 14. kerület, Thököly út " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "3" "nincs" "nincs megadva" "gáz (cirko)" "van" "nem" "egy helyiségben" "kelet" "udvari" "2 m²" "nem" "nincs megadva" "utca, közterület - ingyenes" NA NA "30 000 Ft/hó" NA
"10" "33.9" "66" "3" " 3. kerület, Vörösvári út " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "5" "10" "van" "nincs megadva" "távfutés egyedi méréssel" NA "igen" "külön helyiségben" "délnyugat" "panorámás" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "részt vett"
"11" "67.59" "78" "4" " 14. kerület, Miskolci utca 28. " "új építésu" "2020" "duplakomfortos" "nincs megadva" "1" "3" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "7.2 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" "2.5 M Ft" NA NA NA
"12" "55.7" "67" "1" " 7. kerület, Péterfy Sándor utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "van" "nem" "külön helyiségben" "délnyugat" "udvari" NA "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"13" "45" "53" "2" " 6. kerület, Szófia utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "egy helyiségben" "délnyugat" "udvari" NA "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"14" "74.9" "85" "3" " 2. kerület, II/A kerület – Remetekertváros " "új építésu" "2018" "duplakomfortos" "nincs megadva" "2" "3" "nincs" "nincs megadva" "gáz (cirko)" NA "nem" "külön és egyben is" "dél" "panorámás" "114 m²" "nem" "nem tetotéri" "udvari beálló - benne van az árban" NA NA NA NA
"15" "90" "99" "3" " 3. kerület, Szépvölgyi út " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" "43 m²" "nincs megadva" "nem tetotéri" "önálló garázs - kötelezo megvenni" "3.5 M Ft" NA NA NA
"16" "28" "71" "3" " 20. kerület, Erzsébetfalva " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "nincs megadva" "külön helyiségben" "délkelet" "panorámás" NA "igen" "nincs megadva" "utca, közterület - ingyenes" NA NA "35 000 Ft/hó" NA
"17" "22.95" "53" "2" " 18. kerület, Havanna utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "nincs megadva"
"18" "18.9" "28" "1" " 4. kerület, Bródy Imre utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nem" "egy helyiségben" "kelet" "kertre nézo" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"19" "133" "87" "4" " 3. kerület, Harsánylejto " "nincs megadva" "2019" "luxus" "nincs megadva" "2" "2" "van" "nincs megadva" "házközponti egyedi méréssel" NA "igen" "nincs megadva" "dél" "panorámás" "96 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" "4.3 M Ft" NA NA NA
"20" "149" "111" "4" " 2. kerület, Csatárka " "újszeru" "2001-2010 között" "duplakomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "igen" "külön és egyben is" "délnyugat" "kertre nézo" "25 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" "8 M Ft" NA NA NA
