"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "panelprogram" "parkolohely_ara" "lakopark_neve"
"1" "99.9" "123" "3" " 13. kerület, Rokolya utca " "újszeru" "2001-2010 között" "duplakomfortos" "A+" "4" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nem" "külön és egyben is" "nyugat" "kertre nézo" "60 m²" "nem" "legfelso emelet, nem tetotéri" "teremgarázs hely - megvásárolható" NA NA NA NA
"2" "61.76" "61" "2" " 13. kerület, Sólyatér utca " "jó állapotú" NA "komfortos" "nincs megadva" "6" "nincs megadva" "van" "nincs megadva" "házközponti" "nincs" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "teremgarázs hely" NA NA NA NA
"3" "16.99" "26" "1" " 8. kerület, Józsefváros – Magdolnanegyed " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "3" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "10 000 Ft/hó" NA NA NA
"4" "28.5" "57" "2" " 3. kerület, Hollós Korvin Lajos utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés" "van" "nincs megadva" "külön helyiségben" "dél" "panorámás" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "nincs megadva" NA NA
"5" "36.7" "55" "2" " 11. kerület, Regos köz " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "8" "8" "van" "nincs megadva" "távfutés egyedi méréssel" NA "igen" "nincs megadva" "nincs megadva" "panorámás" "3 m²" "igen" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" NA "nincs megadva" NA NA
"6" "44.9" "66" "3" " 14. kerület, Szugló utca " "újszeru" "2018" "összkomfortos" "nincs megadva" "3" "5" "van" "nincs megadva" "házközponti" "van" "nincs megadva" "külön helyiségben" "dél" "kertre nézo" "5.9 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" NA NA "2 M Ft" NA
"7" "78.85" "85" "3" " 11. kerület, Jégcsap utca 14. " "új építésu" "2019" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "külön és egyben is" "nincs megadva" "panorámás" "14 m²" "nincs megadva" "nincs megadva" "udvari beálló - benne van az árban" NA NA NA NA
"8" "58" "93" "3" " 9. kerület, Ülloi út " "felújítandó" "1950-1980 között" "komfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"9" "97" "60" "3" " 6. kerület, Király Boutique Residence " "új építésu" "2021" "luxus" "nincs megadva" "1" "7" "van" "nincs megadva" "hoszivattyú" "van" "nincs megadva" "nincs megadva" "délkelet" "udvari" "12.86 m²" "nem" "nem tetotéri" "teremgarázs hely" NA NA NA "Király Boutique Residence"
"10" "38.5" "80" "2" " 14. kerület, Herminamezo " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "nincs megadva" "nincs" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" NA "igen" "nem tetotéri" "udvari beálló" NA NA NA NA
"11" "26.4" "41" "2" " 4. kerület, Gárdi Jeno utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m vagy magasabb" "elektromos" "nincs" "igen" "egy helyiségben" "délkelet" "kertre nézo" "13 m²" "igen" "nem tetotéri" "nincs megadva" "10 000 Ft/hó" NA NA NA
"12" "59" "55" "2" " 1. kerület, Várfok utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "egy helyiségben" "észak" "utcai" "5 m²" "nem" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA
"13" "40.5" "54" "2" " 14. kerület, Ilka utca " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nem" "egy helyiségben" "nincs megadva" "kertre nézo" "4 m²" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA
"14" "49.9" "88" "4" " 8. kerület, Harminckettesek tere " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "nincs megadva" "nincs" "igen" "külön helyiségben" "délkelet" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA
"15" "63.99" "88" "3" " 7. kerület, Klauzál utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "igen" "külön helyiségben" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"16" "56.5" "72" "2" " 2. kerület, Kapás utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "nincs megadva" "gáz (cirko)" NA "nem" "külön helyiségben" "délnyugat" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA
"17" "104.9" "93" "4" " 3. kerület, Kocsis Sándor út 4. " "új építésu" "2020" "duplakomfortos" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "hoszivattyú" "van" "igen" "külön és egyben is" "nincs megadva" "panorámás" "103.55 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA "4 M Ft" NA
"18" "35.9" "50" "2" " 3. kerület, Vörösvári út " "felújított" NA "összkomfortos" "nincs megadva" "2" "10" "van" "nincs megadva" "házközponti egyedi méréssel" NA "igen" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" "25 000 Ft/hó" "részt vett" NA NA
"19" "73.49" "92" "4" " 8. kerület, Baross utca 79. " "újszeru" "1950-1980 között" "duplakomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "van" "igen" "külön és egyben is" "délnyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "20 000 Ft/hó" NA NA NA
"20" "29.9" "39" "1" " 14. kerület, Erzsébet királyné útja " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "elektromos" "nincs" "nem" "egy helyiségben" "nyugat" "utcai" "2 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" "14 000 Ft/hó" NA NA NA
