"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "erkely" "parkolohely_ara" "rezsikoltseg"
"1" "29.9" "40" "1" " 14. kerület, Thököly út 149. " "jó állapotú" "összkomfortos" "nincs megadva" "2" "4" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA NA
"2" "53.9" "77" "2" " 14. kerület, Pósa Lajos utca " "felújított" "nincs megadva" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "önálló garázs" "2001-2010 között" "van" NA NA NA
"3" "26.9" "37" "1" " 13. kerület, Vizafogó – Dagály utcai lakótelep " "közepes állapotú" "összkomfortos" "nincs megadva" "5" "9" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "dél" "panorámás" "nincs megadva" NA "utca, közterület" NA NA NA NA NA
"4" "29.9" "24" "1" " 13. kerület, Újlipótváros " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "elektromos" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"5" "47" "47" "1" " 5. kerület, Lipótváros " "közepes állapotú" "összkomfortos" "nincs megadva" "5" "5" "van" "nincs megadva" "házközponti" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" "1950 elott" NA NA NA NA
"6" "37.9" "47" "2" " 4. kerület, Újpest " "nincs megadva" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "teremgarázs hely - kötelezo megvenni" "2020" NA "6.2 m²" "2.5 M Ft" NA
"7" "98.9" "94" "4" " 5. kerület, Október 6. utca " "felújított" "duplakomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "külön helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" "van" NA NA NA
"8" "66.9" "80" "3" " 11. kerület, Kelenföld " "jó állapotú" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "dél" "utcai" "nincs megadva" "tetotéri" "nincs megadva" "2001-2010 között" "van" NA NA NA
"9" "75.9" "76" "3" " 13. kerület, Újlipótváros " "felújított" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"10" "48.9" "72" "3" " 4. kerület, Újpest " "nincs megadva" "összkomfortos" "nincs megadva" "1" "3" "nincs" "nincs megadva" "gázkazán" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "teremgarázs hely - kötelezo megvenni" "2020" NA "6.7 m²" "2.5 M Ft" NA
