"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "erkely" "rezsikoltseg" "panelprogram" "parkolohely_ara"
"1" "20" "54" "2" " 23. kerület, Fuzfa köz " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "dél" "kertre nézo" "nincs megadva" "nincs megadva" "udvari beálló - benne van az árban" NA NA NA NA NA
"2" "29.9" "58" "2" " 16. kerület, Futórózsa utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "4" "4" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nyugat" "panorámás" "nincs megadva" NA "utca, közterület - ingyenes" "van" "2 m²" NA NA NA
"3" "31.9" "56" "2" " 3. kerület, Békásmegyeri lakótelep Duna felol " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA "14 000 Ft/hó" "nincs megadva" NA
"4" "72" "84" "2" " 6. kerület, Eötvös utca 44. " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" "van" "6 m²" NA NA NA
"5" "42.9" "42" "2" " 9. kerület, Középso-Ferencváros " "nincs megadva" "2019" "összkomfortos" "AA" "földszint" "6" "van" "nincs megadva" "házközponti egyedi méréssel" "igen" "egy helyiségben" "nyugat" "kertre nézo" "igen" "nem tetotéri" "utca, közterület" "nincs" "50 m²" NA NA NA
"6" "46.9" "41" "2" " 13. kerület, Párta köz " "újszeru" "2017" "nincs megadva" "nincs megadva" "3" "5" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "délnyugat" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" NA "3.2 m²" NA NA NA
"7" "21" "46" "1" " 21. kerület, Árpád utca " "közepes állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "6" "nincs megadva" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA "nincs megadva" NA
"8" "38.9" "43" "2" " 13. kerület, Béke tér " "újszeru" "2001-2010 között" "összkomfortos" "CC" "2" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "egy helyiségben" "nincs megadva" "kertre nézo" "nem" "nem tetotéri" "udvari beálló - kötelezo megvenni" NA "2 m²" "9 000 Ft/hó" NA "2 M Ft"
"9" "27.9" "54" "2" " 10. kerület, Felsorákos " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA "6 m²" NA "nincs megadva" NA
"10" "74" "79" "3" " 2. kerület, Országút " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "szuterén" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nyugat" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "van" NA "42 000 Ft/hó" NA NA
"11" "189" "143" "3" " 6. kerület, Belso-Terézváros " "felújított" NA "luxus" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "28 000 Ft/hó" NA NA
"12" "29.9" "27" "1" " 7. kerület, Murányi utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "északkelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"13" "38.26" "35" "1" " 6. kerület, Benczúr utca " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "nincs megadva" "északnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"14" "46" "54" "2" " 2. kerület, Törökvész " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "8" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "panorámás" "nincs megadva" NA "utca, közterület - ingyenes" NA NA "35 000 Ft/hó" NA NA
"15" "28.5" "32" "1" " 11. kerület, Lágymányosi lakótelep " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "5" "6" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "egy helyiségben" "nyugat" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA "8 000 Ft/hó" NA NA
"16" "35.9" "51" "1" " 7. kerület, Külso-Erzsébetváros – Ligetváros " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA "12 000 Ft/hó" NA NA
"17" "26.6" "46" "1" " 11. kerület, Kelenföldi lakótelep " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "10 felett" "több mint 10" "van" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "4 m²" NA "nincs megadva" NA
