"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "panelprogram" "parkolohely_ara"
"1" "168" "157" "5" " 13. kerület, Pozsonyi út " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "40 000 Ft/hó" "nincs megadva" "külön és egyben is" "kelet" "panorámás" "1 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"2" "34.9" "50" "2" " 20. kerület, Pacsirtatelep " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "délnyugat" "udvari" NA "nincs megadva" "nincs megadva" "önálló garázs - megvásárolható" NA NA NA
"3" "63.94" "71" "2" " 3. kerület, Csillaghegy " "nincs megadva" "2017" "összkomfortos" "nincs megadva" "1" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "igen" "külön helyiségben" "északnyugat" "udvari" "18 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA NA
"4" "89.63" "100" "3" " 3. kerület, Csillaghegy – Forrásliget-lakópark " "nincs megadva" "2017" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "délnyugat" "udvari" "75 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"5" "26.9" "51" "2" " 3. kerület, Békásmegyeri lakótelep hegy felol " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés" "12 000 Ft/hó" "nincs megadva" "külön helyiségben" "kelet" "panorámás" "4 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" "nincs megadva" NA
"6" "26.5" "52" "2" " 18. kerület, Mikszáth Kálmán utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "3 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA "részt vett" NA
"7" "41.99" "46" "2" " 4. kerület, Újpest " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs megadva" "nincs megadva" "házközponti egyedi méréssel" NA "igen" "nincs megadva" "nincs megadva" "nincs megadva" "10 m²" "nincs megadva" "nincs megadva" "udvari beálló - kötelezo megvenni" NA NA "1.5 M Ft"
"8" "85" "100" "4" " 2. kerület, Frankel Leó út " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"9" "79.45" "101" "3" " 12. kerület, Krisztinaváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "elektromos" NA "nincs megadva" "nincs megadva" "kelet" "utcai" "3 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"10" "62.9" "88" "3" " 14. kerület, Ilka utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "3" "nincs" "nincs megadva" "gáz (cirko), padlófutés" "11 000 Ft/hó" "nincs megadva" "külön helyiségben" "nyugat" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"11" "214.9" "90" "3" " 6. kerület, Andrássy út " "befejezetlen" NA "luxus" "nincs megadva" "3" "3" "van" "3 m vagy magasabb" "nincs megadva" NA "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "9 m²" "nem" "tetotéri" "utca, közterület" NA NA NA
"12" "27.5" "49" "2" " 3. kerület, Szolo utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "10" "10" "van" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "kelet" "panorámás" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "részt vett" NA
