"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "panelprogram"
"1" "59.8" "75" "3" " 13. kerület, Dévai utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "3" "6" "van" "nincs megadva" "házközponti egyedi méréssel" "van" "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" "6 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"2" "49.9" "68" "2" " 12. kerület, Maros utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "5" "nincs megadva" "3 m-nél alacsonyabb" "házközponti" "nincs" "nem" "külön helyiségben" "délnyugat" "kertre nézo" "1 m²" "igen" "nem tetotéri" "utca, közterület - fizetos övezet" "37 000 Ft/hó" NA
"3" "69.9" "95" "4" " 9. kerület, Kinizsi utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "félemelet" "5" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"4" "37.99" "44" "2" " 7. kerület, Király utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "egy helyiségben" "kelet" "utcai" "6 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"5" "76.9" "98" "3" " 12. kerület, Thomán István utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "délkelet" "kertre nézo" "11 m²" "nem" "nincs megadva" "utca, közterület - ingyenes" NA NA
"6" "96.9" "88" "2" " 5. kerület, Kecskeméti utca " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "házközponti" NA "nincs megadva" "külön és egyben is" "kelet" "panorámás" "5 m²" "nincs megadva" "nincs megadva" "nincs megadva" "45 000 Ft/hó" NA
"7" "43.9" "83" "2" " 13. kerület, Angyalföld " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "külön helyiségben" "dél" "utcai" "3 m²" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "50 000 Ft/hó" NA
"8" "46.5" "54" "2" " 7. kerület, Király utca " "felújított" NA "nincs megadva" "nincs megadva" "1" "4" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "délkelet" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"9" "31.5" "74" "3" " 17. kerület, Rákoskeresztúri lakótelep " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" "nincs" "nem" "nincs megadva" "délkelet" "utcai" "2 m²" "nincs megadva" "nem tetotéri" "utca, közterület" NA "nem vett részt"
"10" "88.45" "130" "5" " 4. kerület, Székesdulo " "nincs megadva" "2020" "duplakomfortos" "nincs megadva" "nincs megadva" "2" "nincs" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "van" "nincs megadva" "külön és egyben is" "nincs megadva" "kertre nézo" "36.5 m²" "igen" "nincs megadva" "önálló garázs - benne van az árban" NA NA
