"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "parkolohely_ara" "rezsikoltseg" "panelprogram"
"1" "133" "140" "5" " 14. kerület, Gyarmat utca " "nincs megadva" "2019" "duplakomfortos" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "40 m²" "nincs megadva" "nincs megadva" "önálló garázs" NA NA NA NA
"2" "67.9" "72" "4" " 14. kerület, Locsei út " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "kertre nézo" "10 m²" "nincs megadva" "nincs megadva" "önálló garázs" NA NA NA NA
"3" "32.8" "40" "2" " 14. kerület, Egyenes utca " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "teremgarázs hely - kötelezo megvenni" "van" "3.9 M Ft" NA NA
"4" "99" "142" "5" " 14. kerület, Jeszenák János utca " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "1" "2" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko), padlófutés" "nincs megadva" "nincs megadva" "délnyugat" "panorámás" NA "nincs megadva" "nincs megadva" "udvari beálló - megvásárolható" "van" NA NA NA
"5" "53.9" "74" "2" " 14. kerület, Kövér Lajos utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "délnyugat" "nincs megadva" NA "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" "van" "3.5 M Ft" NA NA
"6" "29.9" "53" "2" " 16. kerület, Újmátyásföld – Centenáriumi lakótelep " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "nincs megadva" "délnyugat" "panorámás" "4 m²" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"7" "21.9" "44" "1" " 16. kerület, Párta utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "elektromos" "nincs megadva" "nincs megadva" "dél" "kertre nézo" NA "igen" "nincs megadva" "udvari beálló - benne van az árban" NA NA NA NA
"8" "99.8" "113" "4" " 14. kerület, Bácskai utca " "nincs megadva" "2020" "duplakomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "önálló garázs" NA NA NA NA
"9" "24.9" "43" "1" " 18. kerület, Építo utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "egy helyiségben" "nyugat" "kertre nézo" "1 m²" "nincs megadva" NA "utca, közterület - ingyenes" "nincs" NA "20 000 Ft/hó" NA
"10" "47.9" "70" "3" " 8. kerület, Kerepesdulo " "jó állapotú" "1950 elott" "komfort nélküli" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "egyéb" "nem" "nincs megadva" "nyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"11" "30.9" "30" "1" " 10. kerület, Népliget " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "házközponti" "igen" "nincs megadva" "kelet" "kertre nézo" "6 m²" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"12" "33.5" "35" "2" " 13. kerület, Angyalföld " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "egy helyiségben" "délkelet" "panorámás" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA "nincs megadva"
"13" "58.9" "40" "2" " 13. kerület, Újlipótváros " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "délkelet" "nincs megadva" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"14" "45.9" "68" "2" " 4. kerület, Újpest " "nincs megadva" "2020" "nincs megadva" "nincs megadva" "3" "6" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "északkelet" "udvari" "3.8 m²" "nincs megadva" "nincs megadva" "teremgarázs hely" NA NA NA NA
"15" "45.2" "68" "2" " 4. kerület, Újpest " "nincs megadva" "2020" "nincs megadva" "nincs megadva" "2" "6" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "északkelet" "utcai" "3.8 m²" "nincs megadva" "nincs megadva" "teremgarázs hely" NA NA NA NA
"16" "50.5" "72" "2" " 4. kerület, Újpest " "nincs megadva" "2020" "nincs megadva" "nincs megadva" "1" "6" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "kelet" "utcai" "2 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"17" "48.1" "66" "2" " 4. kerület, Újpest " "nincs megadva" "2020" "nincs megadva" "nincs megadva" "1" "6" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "északnyugat" "utcai" "8 m²" "nincs megadva" "nincs megadva" "teremgarázs hely" NA NA NA NA
"18" "59" "68" "3" " 4. kerület, Újpest " "nincs megadva" "2020" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "17.2 m²" "nincs megadva" "nincs megadva" "teremgarázs hely" NA NA NA NA
"19" "59.3" "79" "2" " 4. kerület, Újpest " "nincs megadva" "2020" "nincs megadva" "nincs megadva" "1" "6" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "14.35 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"20" "36.3" "39" "1" " 14. kerület, Alsórákos " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "igen" "nincs megadva" "délnyugat" "panorámás" "8 m²" "nem" "nem tetotéri" "teremgarázs hely - benne van az árban" NA NA NA NA
