"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "rezsikoltseg" "panelprogram" "parkolohely_ara"
"1" "205" "172" "5" " 5. kerület, Egyetem tér " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"2" "47.99" "59" "2" " 13. kerület, Hegedus Gyula utca 6. " "közepes állapotú" "összkomfortos" "nincs megadva" "6" "8" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "nincs megadva" "1950-1980 között" "nincs" "13 000 Ft/hó" NA NA
"3" "26.5" "45" "1" " 8. kerület, Baross utca " "közepes állapotú" "összkomfortos" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "részt vett" NA
"4" "35.5" "58" "2" " 16. kerület, Futórózsa utca " "felújított" "összkomfortos" "AA" "1" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "délnyugat" "utcai" "4 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" "nincs" "35 000 Ft/hó" NA NA
"5" "32.9" "31" "1" " 13. kerület, Bodor utca " "újszeru" "összkomfortos" "nincs megadva" "2" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "5 m²" "nem" "nem tetotéri" "nincs megadva" "2019" "nincs" NA NA NA
"6" "32.5" "51" "2" " 9. kerület, Csengettyu utca 1. " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "5" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "egy helyiségben" "dél" "kertre nézo" "5 m²" "nem" "nincs megadva" "önálló garázs - benne van az árban" "1950-1980 között" "nincs" "35 000 Ft/hó" NA NA
"7" "19.8" "25" "1" " 13. kerület, Angyalföldi út " "közepes állapotú" "nincs megadva" "nincs megadva" "2" "3" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"8" "22.5" "36" "1" " 8. kerület, Koszorú utca " "felújított" "összkomfortos" "nincs megadva" "3" "3" "nincs" "nincs megadva" "gáz (konvektor)" "nem" "egy helyiségben" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület" "1950 elott" "van" "23 000 Ft/hó" NA NA
"9" "26.9" "30" "1" " 11. kerület, Fadrusz utca 23. " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA "8 600 Ft/hó" NA NA
"10" "26.1" "32" "1" " 13. kerület, Mosoly utca " "jó állapotú" "nincs megadva" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA "11 000 Ft/hó" NA NA
"11" "27.9" "55" "2" " 15. kerület, Erdokerülo utca " "felújított" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "1981-2000 között" NA NA "részt vett" NA
"12" "23.9" "30" "1" " 11. kerület, Tibavár utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"13" "16.7" "38" "1" " 10. kerület, Csilla utca 4/b " "felújítandó" "nincs megadva" "nincs megadva" "2" "5" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "nincs megadva" "kelet" "utcai" NA "nem" "nincs megadva" "utca, közterület - ingyenes" "1950 elott" "nincs" "6 000 Ft/hó" NA NA
"14" "35.9" "37" "1" " 13. kerület, Kresz Géza utca " "jó állapotú" "összkomfortos" "nincs megadva" "félemelet" "6" "van" "3 m-nél alacsonyabb" "házközponti" "nem" "egy helyiségben" "kelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" "nincs" "25 000 Ft/hó" NA NA
"15" "51.8" "58" "1" " 12. kerület, Alsó Svábhegyi út 3. " "felújított" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "délkelet" "panorámás" NA "nincs megadva" "nem tetotéri" "udvari beálló - benne van az árban" "1950-1980 között" "nincs" NA NA NA
"16" "18.8" "24" "1" " 6. kerület, Bajnok utca " "felújítandó" "nincs megadva" "nincs megadva" "1" "2" "nincs megadva" "3 m vagy magasabb" "elektromos" "nincs megadva" "nincs megadva" "dél" "utcai" NA "nem" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA
