"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "parkolohely_ara" "legkondicionalo" "rezsikoltseg" "panelprogram" "lakopark_neve"
"1" "156.05" "119" "4" " 3. kerület, Csillaghegy " "nincs megadva" "2019" "luxus" "nincs megadva" "1" "nincs megadva" "nincs megadva" "nincs megadva" "hoszivattyú" "nincs megadva" "nincs megadva" "délkelet" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"2" "80.9" "91" "4" " 3. kerület, Óbuda – Filatorigát " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "4" "5" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" "nem" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" "8.98 m²" "4 M Ft" NA NA NA NA
"3" "68" "84" "3" " 7. kerület, Klauzál tér " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "házközponti" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA NA NA
"4" "184.8" "168" "4" " 5. kerület, Bajcsy-Zsilinszky út " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "igen" "külön és egyben is" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA "van" "33 000 Ft/hó" NA NA
"5" "23.5" "36" "1" " 15. kerület, Neptun utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "egy helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA "nincs" "25 000 Ft/hó" "részt vett" NA
"6" "129" "147" "4" " 6. kerület, Külso-Terézváros – Diplomatanegyed " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "északkelet" "utcai" "nem" "nem tetotéri" "utca, közterület" "4 m²" NA "nincs" NA NA NA
"7" "94" "100" "3" " 13. kerület, Visegrádi utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "távfutés egyedi méréssel" "nem" "külön és egyben is" "északkelet" "kertre nézo" "nem" "nem tetotéri" "utca, közterület" NA NA "nincs" NA NA NA
"8" "41.9" "64" "2" " 4. kerület, Erkel Gyula utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "igen" "egy helyiségben" "dél" "utcai" "nincs megadva" "nincs megadva" "udvari beálló - kötelezo megvenni" "10 m²" "1.8 M Ft" NA NA NA NA
"9" "75" "75" "3" " 13. kerület, Rokolya utca 6. " "nincs megadva" "2018" "nincs megadva" "nincs megadva" "3" "4" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "110 m²" NA NA NA NA NA
"10" "94.9" "89" "2" " 9. kerület, Középso-Ferencváros – Millenniumi városközpont " "nincs megadva" "2011" "luxus" "nincs megadva" "8" "9" "van" "3 m-nél alacsonyabb" "fan-coil" "nem" "külön és egyben is" "délkelet" "panorámás" "nem" "nem tetotéri" "utca, közterület" "8.5 m²" NA NA NA NA NA
"11" "93.5" "83" "2" " 6. kerület, Vasvári Pál utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "2 m²" NA "van" "30 000 Ft/hó" NA NA
