"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "epites_eve" "legkondicionalo" "erkely" "parkolohely_ara"
"1" "25" "37" "1" " 3. kerület, Pablo Neruda utca " "jó állapotú" "összkomfortos" "nincs megadva" "4" "4" "nincs" "nincs megadva" "távfutés egyedi méréssel" "nem" "nincs megadva" "nyugat" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA
"2" "51.9" "74" "2" " 11. kerület, Kaptárko utca " "felújított" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "nincs megadva" "nyugat" "kertre nézo" "nem" "nem tetotéri" "nincs megadva" "utca, közterület" "1981-2000 között" NA NA NA
"3" "51.9" "74" "2" " 11. kerület, Kaptárko utca " "felújított" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "nincs megadva" "nyugat" "kertre nézo" "nem" "nem tetotéri" "nincs megadva" "utca, közterület" "1981-2000 között" NA NA NA
"4" "51.9" "36" "1" " 5. kerület, Belváros " "felújított" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "elektromos" "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950 elott" NA NA NA
"5" "32.9" "51" "2" " 3. kerület, Szentendrei út " "közepes állapotú" "összkomfortos" "nincs megadva" "10 felett" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "egy helyiségben" "kelet" "panorámás" "nem" "nem tetotéri" "nincs megadva" "utca, közterület - fizetos övezet" "1950-1980 között" "van" "10 m²" NA
"6" "59.9" "68" "2" " 13. kerület, Pannónia utca " "felújított" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" NA "utca, közterület" "1950-1980 között" NA NA NA
"7" "23.7" "23" "1" " 7. kerület, Dohány utca " "közepes állapotú" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "kelet" "udvari" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950 elott" NA NA NA
"8" "52.9" "90" "3" " 13. kerület, Angyalföld-Kertváros " "jó állapotú" "duplakomfortos" "nincs megadva" "3" "4" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nem" "tetotéri" NA "teremgarázs hely - megvásárolható" "2001-2010 között" "nincs" NA "3 M Ft"
"9" "30.2" "57" "2" " 3. kerület, Szilke utca " "jó állapotú" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "nincs megadva" "északkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" "1950-1980 között" NA NA NA
"10" "62.9" "68" "2" " 3. kerület, Testvérhegy " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "nincs megadva" "nem tetotéri" NA "nincs megadva" "2001-2010 között" NA "16 m²" NA
