"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "erkely" "legkondicionalo" "rezsikoltseg" "panelprogram" "lakopark_neve" "parkolohely_ara"
"1" "42" "48" "2" " 5. kerület, Vadász utca " "felújított" "komfortos" "nincs megadva" "földszint" "3" "nincs" "nincs megadva" "elektromos" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA NA NA NA
"2" "42.9" "46" "2" " 8. kerület, Józsefváros – Corvinnegyed " "felújított" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" "4 m²" NA NA NA NA NA
"3" "84.9" "95" "3" " 2. kerület, Buday László utca " "újszeru" "nincs megadva" "nincs megadva" "1" "4" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "kelet" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület" "1950 elott" NA NA NA NA NA NA
"4" "49" "47" "1" " 6. kerület, Hajós utca 25. " "felújított" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "cserépkályha, egyéb" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nem" "nincs megadva" "nincs megadva" "1950 elott" NA NA NA NA NA NA
"5" "81" "67" "1" " 6. kerület, Külso-Terézváros – Diplomatanegyed " "közepes állapotú" "komfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "dél" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" NA "van" "16 000 Ft/hó" NA NA NA
"6" "58" "88" "4" " 7. kerület, Hernád utca " "felújított" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA "40 000 Ft/hó" NA NA NA
"7" "29.9" "37" "1" " 11. kerület, Sasadi út " "felújítandó" "összkomfortos" "nincs megadva" "félemelet" "2" "nincs" "3 m-nél alacsonyabb" "elektromos" "nem" "egy helyiségben" "délkelet" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA "nincs" NA NA NA NA
"8" "29.5" "56" "2" " 4. kerület, Izzó utca " "közepes állapotú" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "nincs megadva" "1950-1980 között" "4 m²" NA NA NA NA NA
"9" "29.9" "54" "2" " 3. kerület, Juhász Gyula utca " "közepes állapotú" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön helyiségben" "nyugat" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1981-2000 között" "4 m²" "nincs" "20 000 Ft/hó" "nincs megadva" NA NA
"10" "29.5" "56" "2" " 15. kerület, Mézeskalács tér " "felújított" "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "külön helyiségben" "délnyugat" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" NA "van" "20 000 Ft/hó" "részt vett" NA NA
"11" "36.9" "53" "2" " 14. kerület, Alsórákos " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" "nincs megadva" "nincs megadva" "udvari beálló - benne van az árban" "2001-2010 között" "6 m²" NA NA NA NA NA
"12" "39.9" "40" "2" " 1. kerület, Krisztinaváros " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA NA
"13" "50" "70" "2" " 13. kerület, Pannónia utca " "felújítandó" "összkomfortos" "nincs megadva" "3" "6" "van" "3 m vagy magasabb" "gáz (konvektor), cserépkályha" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" NA "nincs" NA NA NA NA
"14" "24.4" "28" "1" " 3. kerület, Kaszásduloi lakótelep " "felújítandó" "nincs megadva" "nincs megadva" "2" "4" "nincs" "nincs megadva" "távfutés" "nincs megadva" "egy helyiségben" "kelet" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA "nincs megadva" NA NA
"15" "49.9" "66" "2" " 7. kerület, Király utca " "nincs megadva" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "északkelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA NA
"16" "38.9" "45" "2" " 8. kerület, Rákóczi út " "felújított" "nincs megadva" "nincs megadva" "2" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "északkelet" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "1950 elott" NA NA NA NA NA NA
"17" "31.14" "31" "1" " 13. kerület, Kassák Passage " "új építésu" "összkomfortos" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "2022" "2.4 m²" NA NA NA "Kassák Passage" "3.49 M Ft"
"18" "79.5" "68" "2" " 2. kerület, Fillér utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "6 m²" NA "20 000 Ft/hó" NA NA NA
"19" "8.5" "28" "1" " 9. kerület, Mihálkovics utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA NA
"20" "42.9" "37" "1" " 5. kerület, Lipótváros " "közepes állapotú" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "külön helyiségben" "dél" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA NA NA NA
