"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "erkely" "rezsikoltseg" "lakopark_neve" "parkolohely_ara"
"1" "49.9" "82" "3" " 7. kerület, Nefelejcs utca " "felújítandó" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"2" "43.2" "70" "2" " 14. kerület, Tallér utca " "közepes állapotú" "összkomfortos" "nincs megadva" "3" "4" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "kelet" "kertre nézo" "nem" "nincs megadva" "utca, közterület - ingyenes" "1950 elott" "van" "2 m²" NA NA NA
"3" "61.5" "58" "2" " 7. kerület, Dohány utca " "felújított" "nincs megadva" "nincs megadva" "2" "3" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"4" "139.9" "109" "2" " 1. kerület, Víziváros – Váralja " "újszeru" "nincs megadva" "nincs megadva" "2" "3" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "2001-2010 között" NA "3 m²" NA NA NA
"5" "133" "120" "4" " 6. kerület, Dózsa György út " "felújított" "duplakomfortos" "nincs megadva" "3" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nyugat" "kertre nézo" "nincs megadva" "nincs megadva" "önálló garázs" NA "van" "4 m²" NA NA NA
"6" "40" "45" "1" " 12. kerület, Sólyom utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "10 000 Ft/hó" NA NA
"7" "34.2" "32" "1" " 8. kerület, Józsefváros – Corvinnegyed " "nincs megadva" "összkomfortos" "AA++" "2" "6" "van" "3 m-nél alacsonyabb" "megújuló energia" "nincs megadva" "egy helyiségben" "északkelet" "kertre nézo" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "2019" NA "6.59 m²" NA NA NA
"8" "35.99" "36" "1" " 8. kerület, Józsefváros – Corvinnegyed " "nincs megadva" "összkomfortos" "AA++" "3" "6" "van" "3 m-nél alacsonyabb" "megújuló energia" "nincs megadva" "egy helyiségben" "északkelet" "utcai" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "2019" NA "6.59 m²" NA NA NA
"9" "200" "160" "2" " 7. kerület, Károly körút " "felújított" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA NA
"10" "61.7" "67" "3" " 13. kerület, Kassák Residence " "új építésu" "összkomfortos" "nincs megadva" "6" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "2018" NA "4.2 m²" NA "Kassák Residence" "3.6 M Ft"
