"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "erkely" "parkolohely_ara"
"1" "57.9" "112" "4" " 8. kerület, Szentkirályi utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "van" "3 m vagy magasabb" "gáz (konvektor)" "30 000 Ft/hó" "nincs megadva" "külön helyiségben" "kelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
"2" "51.9" "52" "1" " 5. kerület, Vértanúk tere " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "6" "van" "3 m vagy magasabb" "házközponti" NA "nincs megadva" "külön és egyben is" "kelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs" NA NA
"3" "25.4" "52" "2" " 21. kerület, Csepel-Erdosor " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "4" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "35 000 Ft/hó" "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA
"4" "55" "81" "3" " 14. kerület, Egressy út 159. " "nincs megadva" "1981-2000 között" "összkomfortos" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "gáz (cirko)" "12 000 Ft/hó" "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" "igen" "nincs megadva" "önálló garázs - megvásárolható" "van" "6 m²" NA
"5" "119" "153" "3" " 2. kerület, Káplár utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "5" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" NA "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA
"6" "85" "80" "4" " 3. kerület, Domoszló útja " "újszeru" "2011" "összkomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "igen" "nem tetotéri" "önálló garázs - benne van az árban" "van" "70 m²" NA
"7" "19.8" "50" "2" " 9. kerület, Gyáli út 15. " "közepes állapotú" NA "összkomfortos" "nincs megadva" "földszint" "4" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "9 600 Ft/hó" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "igen" "nem tetotéri" "udvari beálló - bérelheto" NA NA NA
"8" "79" "88" "2" " 6. kerület, Teréz körút " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "30 000 Ft/hó" "nem" "külön helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "van" NA NA
"9" "223.67" "165" "3" " 5. kerület, Irányi utca " "nincs megadva" NA "luxus" "AA++" "3" "nincs megadva" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" NA "igen" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "van" NA NA
"10" "76.5" "96" "3" " 6. kerület, Teréz körút 7. " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "2" "4" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "nincs" NA NA
"11" "76.5" "113" "2" " 6. kerület, Podmaniczky utca " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "északkelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA "5 m²" NA
"12" "28.5" "38" "1" " 8. kerület, Józsefváros – Corvinnegyed " "jó állapotú" NA "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"13" "159" "117" "3" " 6. kerület, Külso-Terézváros – Diplomatanegyed " "felújított" NA "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA "21 m²" NA
"14" "185" "220" "6" " 13. kerület, Jász utca " "újszeru" NA "nincs megadva" "nincs megadva" "6" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA "116 m²" NA
"15" "55.9" "70" "2" " 6. kerület, Külso-Terézváros " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "cserépkályha" NA "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA
"16" "120" "170" "3" " 9. kerület, Vámház körút " "jó állapotú" NA "duplakomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"17" "49.34" "56" "3" " 13. kerület, Angyalföld " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "5" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "külön helyiségben" "délkelet" "utcai" "nem" "zárószint" "teremgarázs hely - megvásárolható" NA "24.76 m²" "3 M Ft"
"18" "46.9" "49" "2" " 7. kerület, Akácfa utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "fan-coil" NA "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület" "van" NA NA
"19" "47.88" "63" "3" " 13. kerület, Angyalföld " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "1" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "külön helyiségben" "délkelet" "utcai" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" NA "2.68 m²" "3 M Ft"
"20" "47.58" "61" "3" " 13. kerület, Angyalföld " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "1" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "külön helyiségben" "északnyugat" "nincs megadva" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" NA "6.28 m²" "3 M Ft"
