"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "panelprogram"
"1" "107" "66" "2" " 1. kerület, Úri utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "házközponti" "26 000 Ft/hó" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "5 m²" "nincs megadva" "nincs megadva" "utca, közterület" NA NA
"2" "24.89" "45" "1" " 18. kerület, Lakatos-lakótelep " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA
"3" "47.5" "69" "2" " 3. kerület, Pacsirtamezo utca " "jó állapotú" "1981-2000 között" "összkomfortos" "AA+" "nincs megadva" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "330 000 Ft/hó" "nem" "külön helyiségben" "nyugat" "utcai" "2 m²" "nem" "nem tetotéri" "teremgarázs hely - bérelheto" "van" NA
"4" "39.5" "37" "1" " 9. kerület, Nádasdy utca " "újszeru" "2015" "összkomfortos" "nincs megadva" "3" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "25 000 Ft/hó" "igen" "egy helyiségben" "délnyugat" "kertre nézo" "7 m²" "nem" "nem tetotéri" "nincs megadva" "van" NA
"5" "26.5" "47" "2" " 15. kerület, Páskomliget utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "10" "van" "nincs megadva" "távfutés" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "utca, közterület" NA "nincs megadva"
"6" "58" "77" "2" " 7. kerület, Középso-Erzsébetváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "északnyugat" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"7" "23.6" "36" "1" " 10. kerület, Harmat utca 178-188 " "felújított" "1981-2000 között" "összkomfortos" "CC" "10" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés" "25 000 Ft/hó" "nem" "külön helyiségben" "délnyugat" "utcai" "3 m²" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" "nincs" "nem vett részt"
"8" "26" "58" "2" " 20. kerület, Rimaszombat utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"9" "22.5" "25" "1" " 7. kerület, Cserhát utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nem" "egy helyiségben" "délnyugat" "kertre nézo" NA "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA
"10" "22.98" "32" "1" " 7. kerület, Marek József utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "2" "3" "nincs" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA
"11" "24.2" "53" "2" " 18. kerület, Csontváry Kosztka Tivadar utca " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" "nem vett részt"
"12" "52.5" "52" "2" " 12. kerület, Virányos " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nem" "egy helyiségben" "északnyugat" "panorámás" "10 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA
"13" "37" "50" "2" " 8. kerület, Fecske utca " "nincs megadva" "2020" "összkomfortos" "AA+" "nincs megadva" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel, hoszivattyú" NA "igen" "egy helyiségben" "nincs megadva" "nincs megadva" "13 m²" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" NA NA
"14" "95" "91" "2" " 5. kerület, Lipótváros " "újszeru" "1950 elott" "duplakomfortos" "nincs megadva" "földszint" "4" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "külön helyiségben" "délkelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"15" "22.9" "34" "1" " 11. kerület, Bocskai út " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "szuterén" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"16" "108.5" "87" "2" " 5. kerület, Kossuth Lajos utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "nincs megadva" "3 m vagy magasabb" "hoszivattyú" "20 000 Ft/hó" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "nincs megadva" NA NA
"17" "59.9" "80" "3" " 11. kerület, Ildikó utca " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "nyugat" "udvari" "2 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA "nincs megadva"
"18" "39.9" "46" "1" " 11. kerület, Bercsényi utca " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "nincs megadva" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"19" "27.8" "45" "1" " 11. kerület, Érem utca " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "8" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA "nincs megadva"
"20" "279" "205" "5" " 12. kerület, Széchenyihegy " "újszeru" "2017" "duplakomfortos" "nincs megadva" "2" "2" "van" "nincs megadva" "gáz (cirko), padlófutés" NA "igen" "külön és egyben is" "dél" "panorámás" "10 m²" "nincs megadva" "tetotéri" "önálló garázs - kötelezo megvenni" "van" NA
