"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "erkely" "rezsikoltseg" "parkolohely_ara"
"1" "64" "84" "2" " 13. kerület, Hegedus Gyula utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA
"2" "20.5" "35" "1" " 18. kerület, Havanna utca 5. " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"3" "35.8" "58" "2" " 13. kerület, Párkány utca " "felújított" NA "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés" "van" "nincs megadva" "külön helyiségben" "kelet" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület" "nincs megadva" "3 m²" NA NA
"4" "34.9" "46" "2" " 13. kerület, Tatai utca " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "nincs megadva" "házközponti egyedi méréssel" "van" "nem" "egy helyiségben" "kelet" "utcai" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA
"5" "34.9" "51" "2" " 13. kerület, Kassák Lajos utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "10" "10" "van" "nincs megadva" "távfutés" "nincs" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs megadva" NA "9 200 Ft/hó" NA
"6" "71" "74" "3" " 3. kerület, Folyóka utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "4" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "dél" "panorámás" "nem" "nincs megadva" "önálló garázs - benne van az árban" NA "7 m²" "30 000 Ft/hó" NA
"7" "33.8" "41" "1" " 14. kerület, Öv utca " "felújított" "1981-2000 között" "összkomfortos" "CC" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "nem" "egy helyiségben" "délkelet" "kertre nézo" "nem" "nem tetotéri" "udvari beálló - benne van az árban" NA "6 m²" "10 000 Ft/hó" NA
"8" "21.5" "28" "1" " 18. kerület, Egressy Gábor utca 32. " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "nem" "egy helyiségben" "dél" "utcai" "nem" NA "utca, közterület - ingyenes" NA NA "14 500 Ft/hó" NA
"9" "29.5" "55" "2" " 9. kerület, Ifjúmunkás utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "van" "nem" "egy helyiségben" "nincs megadva" "utcai" "nem" NA "utca, közterület - fizetos övezet" NA "3 m²" NA NA
"10" "33.2" "49" "1" " 11. kerület, Menyecske utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "10" "van" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "külön helyiségben" "délnyugat" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" "részt vett" "8 m²" "9 000 Ft/hó" NA
"11" "37" "37" "1" " 11. kerület, Sasadi út " "felújított" NA "nincs megadva" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA
"12" "29" "47" "1" " 9. kerület, Ülloi út 197-199 " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "van" "nem" "egy helyiségben" "észak" "utcai" "nem" "nincs megadva" "udvari beálló" NA NA NA NA
"13" "19.5" "31" "1" " 19. kerület, Pannónia út " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "nincs megadva" "gáz (konvektor)" "nincs" "nem" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA "2 m²" "11 000 Ft/hó" NA
