"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "panelprogram" "parkolohely_ara"
"1" "141.9" "115" "5" " 7. kerület, Akácfa utca " "újszeru" "1950 elott" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "40 000 Ft/hó" "nincs megadva" "külön és egyben is" "nincs megadva" "panorámás" "115 m²" "nincs megadva" "tetotéri" "nincs megadva" NA NA NA
"2" "64.5" "107" "2" " 11. kerület, Villányi út " "újszeru" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "nincs megadva" "gáz (cirko)" NA "nem" "külön és egyben is" "nyugat" "udvari" "7.5 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "van" NA NA
"3" "27.5" "45" "1" " 20. kerület, Baross utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "9" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "egy helyiségben" "nyugat" "utcai" "6 m²" "nem" "nincs megadva" "utca, közterület - ingyenes" "nincs" "nem vett részt" NA
"4" "69.9" "70" "3" " 14. kerület, Limanova tér 23. " "újszeru" "2015" "luxus" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "nincs megadva" "20 000 Ft/hó" "igen" "külön és egyben is" "északkelet" "kertre nézo" "10 m²" "nem" "nem tetotéri" "udvari beálló - kötelezo megvenni" "van" NA "3.5 M Ft"
"5" "42.5" "50" "2" " 6. kerület, Aradi utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "elektromos" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"6" "129" "139" "3" " 3. kerület, Farkastorok " "nincs megadva" "2019" "duplakomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "megújuló energia" NA "igen" "külön és egyben is" "délkelet" "panorámás" "32 m²" "igen" "nem tetotéri" "önálló garázs - benne van az árban" "nincs" NA NA
"7" "94.5" "93" "3" " 2. kerület, Mecset utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"8" "39.9" "45" "2" " 11. kerület, Lágymányos " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "8" "8" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "dél" "panorámás" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA
"9" "46.2" "54" "2" " 2. kerület, Csatárka " "újszeru" "1950-1980 között" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "külön helyiségben" "kelet" "panorámás" NA "igen" NA "önálló garázs - megvásárolható" NA NA "7.5 M Ft"
"10" "53.9" "64" "2" " 2. kerület, Budenz út " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "dél" "nincs megadva" NA "nincs megadva" "tetotéri" "nincs megadva" NA NA NA
