"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "panelprogram" "parkolohely_ara"
"1" "124.99" "155" "4" " 9. kerület, Ráday utca " "felújított" "1950 elott" "luxus" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "délnyugat" "utcai" "3 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"2" "42.5" "45" "1" " 11. kerület, Bartók Béla út " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "7" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "egy helyiségben" "nyugat" "kertre nézo" "5 m²" "nem" "nem tetotéri" "udvari beálló - benne van az árban" "nincs" "11 000 Ft/hó" NA NA
"3" "96.4" "125" "3" " 11. kerület, Bakfu utca " "nincs megadva" "2019" "nincs megadva" "nincs megadva" "2" "4" "nincs megadva" "nincs megadva" "hoszivattyú" "nincs megadva" "külön és egyben is" "dél" "panorámás" "87 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "van" NA NA NA
"4" "26.3" "33" "1" " 11. kerület, Fehérvári út 103/b " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "9" "9" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "egy helyiségben" "kelet" "utcai" NA "nincs megadva" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" NA NA "részt vett" NA
"5" "27.9" "43" "1" " 3. kerület, Óbuda-Óváros " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "nincs megadva" "kelet" "utcai" "3 m²" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"6" "84.18" "70" "2" " 3. kerület, Fehéregyházi út " "nincs megadva" "2019" "összkomfortos" "AA+" "3" "3" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nyugat" "udvari" "30.5 m²" "nincs megadva" "legfelso emelet, nem tetotéri" "önálló garázs - megvásárolható" NA NA NA "2 M Ft"
"7" "28.9" "47" "2" " 15. kerület, Szent Korona útja 14. " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "délnyugat" "kertre nézo" NA "nincs megadva" "nem tetotéri" "udvari beálló - benne van az árban" NA NA NA NA
"8" "34.45" "52" "2" " 16. kerület, Nefelejcs utca 1. " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "délkelet" "kertre nézo" "4.7 m²" "nincs megadva" "nincs megadva" "önálló garázs - megvásárolható" "van" "20 000 Ft/hó" NA "6.5 M Ft"
"9" "44.9" "91" "4" " 8. kerület, Kerepesi út " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "udvari beálló" NA NA NA NA
"10" "165" "84" "2" " 1. kerület, Bem rakpart " "újszeru" "1950 elott" "luxus" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "kelet" "panorámás" NA "nem" "legfelso emelet, nem tetotéri" "utca, közterület" "van" NA NA NA
"11" "49" "45" "1" " 1. kerület, Attila út " "felújított" "1981-2000 között" "luxus" "AA++" "szuterén" "földszintes" "nincs" "3 m vagy magasabb" "padlófutés, egyéb" "nem" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" "25 000 Ft/hó" NA NA
"12" "26.7" "32" "1" " 11. kerület, Ulászló utca " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "északnyugat" "nincs megadva" "5 m²" "igen" "nem tetotéri" "utca, közterület" "nincs" "20 000 Ft/hó" NA NA
"13" "33.9" "56" "2" " 14. kerület, Thököly út " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "4" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "igen" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA
"14" "43.99" "61" "2" " 13. kerület, Újlipótváros " "felújítandó" NA "nincs megadva" "nincs megadva" "félemelet" "6" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA
"15" "47.64" "61" "2" " 13. kerület, Angyalföld – Béke–Tatai utcai lakótelep " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "4" "6" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "6.2 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" NA NA NA "3.5 M Ft"
"16" "57.1" "74" "2" " 13. kerület, Angyalföld – Béke–Tatai utcai lakótelep " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "4" "6" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "6 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - benne van az árban" NA NA NA NA
"17" "51.56" "59" "2" " 13. kerület, Angyalföld – Béke–Tatai utcai lakótelep " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "5" "6" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "25 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" NA NA NA "3.5 M Ft"
"18" "26.7" "68" "3" " 10. kerület, Kobánya – Újhegy " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "10" "10" "van" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "14 400 Ft/hó" "nincs megadva" NA
"19" "49.33" "56" "2" " 13. kerület, Angyalföld – Béke–Tatai utcai lakótelep " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "5" "6" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "25 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" NA NA NA "3.5 M Ft"
"20" "129" "100" "3" " 3. kerület, Saroglya köz " "újszeru" "2011" "duplakomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "délnyugat" "kertre nézo" "25 m²" "igen" "nincs megadva" "teremgarázs hely - benne van az árban" "van" NA NA NA
