"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "lakopark_neve" "legkondicionalo" "panelprogram" "rezsikoltseg"
"1" "91.9" "90" "4" " 13. kerület, Úszódaru utca " "újszeru" "2018" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön és egyben is" "délnyugat" "kertre nézo" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" NA NA NA NA NA
"2" "118.6" "113" "4" " 11. kerület, Madárhegy " "nincs megadva" "2019" "duplakomfortos" "nincs megadva" "2" "3" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "nincs megadva" "délnyugat" "panorámás" "nincs megadva" "penthouse" "teremgarázs hely" "63 m²" NA NA NA NA
"3" "44.5" "64" "3" " 14. kerület, Paskal Garden " "új építésu" "2020" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "északnyugat" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "16.8 m²" "Paskal Garden" NA NA NA
"4" "43.9" "65" "2" " 13. kerület, Gyöngyösi utca " "felújított" NA "nincs megadva" "nincs megadva" "nincs megadva" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "északkelet" "kertre nézo" "nem" "nem tetotéri" "utca, közterület" "7 m²" NA NA NA NA
"5" "51.9" "61" "2" " 14. kerület, Paskal Garden " "új építésu" "2020" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "igen" "nincs megadva" "nincs megadva" "11.11 m²" "Paskal Garden" NA NA NA
"6" "58.9" "72" "3" " 14. kerület, Paskal Garden " "új építésu" "2020" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "igen" "nincs megadva" "nincs megadva" "12.7 m²" "Paskal Garden" NA NA NA
"7" "44.4" "53" "2" " 14. kerület, Paskal Garden " "új építésu" "2020" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "igen" "nincs megadva" "nincs megadva" "11.9 m²" "Paskal Garden" NA NA NA
"8" "43.3" "50" "2" " 14. kerület, Paskal Garden " "új építésu" "2020" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "igen" "nincs megadva" "nincs megadva" "9.9 m²" "Paskal Garden" NA NA NA
"9" "59.9" "71" "2" " 7. kerület, Almássy utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "gáz (cirko), gáz (konvektor)" "nincs megadva" "egy helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA NA
"10" "46.5" "44" "2" " 14. kerület, Paskal Garden " "új építésu" "2020" "összkomfortos" "nincs megadva" "5" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "18.2 m²" "Paskal Garden" NA NA NA
