"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "erkely" "panelprogram" "rezsikoltseg" "parkolohely_ara"
"1" "37.5" "48" "2" " 7. kerület, Kis Diófa utca " "közepes állapotú" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"2" "29.9" "33" "2" " 6. kerület, Szófia utca 33. " "jó állapotú" "komfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "utca, közterület" "1950-1980 között" "nincs" "8 m²" NA NA NA
"3" "44.9" "60" "2" " 14. kerület, Zsolnay Vilmos utca " "felújított" "összkomfortos" "nincs megadva" "3" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "2001-2010 között" NA NA NA NA NA
"4" "25.7" "30" "1" " 7. kerület, Thököly út " "felújított" "komfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "északkelet" "udvari" "nincs megadva" "nincs megadva" "utca, közterület" "1950 elott" "nincs" NA NA NA NA
"5" "126" "90" "3" " 6. kerület, Hajós utca " "felújított" "duplakomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "padlófutés, gáz (cirko)" "nem" "külön és egyben is" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" "van" "4 m²" NA NA NA
"6" "59.9" "92" "3" " 18. kerület, Krepuska Géza-telep " "újszeru" "összkomfortos" "nincs megadva" "félemelet" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "dél" "kertre nézo" "igen" "nem tetotéri" "utca, közterület - ingyenes" "2001-2010 között" NA "16 m²" NA NA NA
"7" "31.99" "50" "2" " 11. kerület, Bártfai utca " "felújítandó" "összkomfortos" "nincs megadva" "félemelet" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "nyugat" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" "nincs" "2 m²" "részt vett" NA NA
"8" "82.9" "85" "3" " 8. kerület, József körút " "felújított" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "délnyugat" "panorámás" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" NA NA NA NA NA
"9" "79" "76" "3" " 5. kerület, Károlyi utca " "jó állapotú" "duplakomfortos" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "5 m²" NA NA NA
"10" "49.9" "44" "1" " 7. kerület, Belso-Erzsébetváros " "jó állapotú" "komfortos" "nincs megadva" "6" "6" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "egy helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" NA NA NA "20 000 Ft/hó" NA
"11" "139.5" "120" "5" " 11. kerület, Hosszúrét " "nincs megadva" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "2019" NA "100 m²" NA NA NA
"12" "107.5" "72" "3" " 11. kerület, Hosszúrét " "nincs megadva" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "2019" NA "24 m²" NA NA NA
