"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "rezsikoltseg" "erkely" "legkondicionalo" "parkolohely_ara"
"1" "37.9" "42" "2" " 8. kerület, Nap utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "nincs megadva" "dél" "udvari" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"2" "32.9" "57" "2" " 3. kerület, Hollós Korvin Lajos utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA NA NA
"3" "46.5" "51" "2" " 12. kerület, Hollósy Simon utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA "23 000 Ft/hó" "2.5 m²" NA NA
"4" "23.6" "47" "2" " 19. kerület, Corvin körút " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "2" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "kelet" "utcai" "nincs megadva" "nincs megadva" "önálló garázs - benne van az árban" NA NA NA "nincs" NA
"5" "69.1" "83" "4" " 3. kerület, Ürömhegy " "újszeru" "2018" "összkomfortos" "nincs megadva" "1" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "dél" "panorámás" "nincs megadva" "nem tetotéri" "teremgarázs hely" NA "30 000 Ft/hó" "47.5 m²" NA NA
"6" "74.9" "86" "3" " 6. kerület, Eötvös utca " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "nincs megadva" "nincs megadva" "külön és egyben is" "nyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"7" "55" "60" "3" " 5. kerület, Alkotmány utca " "közepes állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"8" "44.9" "67" "2" " 6. kerület, Podmaniczky utca " "felújítandó" NA "összkomfortos" "nincs megadva" "félemelet" "3" "van" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "30 000 Ft/hó" NA "nincs" NA
"9" "35.9" "70" "3" " 15. kerület, Páskomliget utca " "felújított" NA "összkomfortos" "nincs megadva" "2" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "délnyugat" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "nem vett részt" NA "8 m²" "nincs" NA
"10" "76" "73" "3" " 11. kerület, Pálinkás Antal utca " "új építésu" "2019" "összkomfortos" "BB" "1" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "egy helyiségben" "délkelet" "kertre nézo" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA "8 m²" "van" "6.3 M Ft"
"11" "56.2" "62" "2" " 11. kerület, Lágymányos " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "van" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nem" "nincs megadva" "utca, közterület" NA NA NA "van" NA
"12" "34.9" "60" "2" " 22. kerület, Háros utca " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "igen" "nincs megadva" "önálló garázs - benne van az árban" NA "30 000 Ft/hó" "2 m²" "nincs" NA
