"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "rezsikoltseg" "erkely" "legkondicionalo" "parkolohely_ara" "panelprogram"
"1" "129.5" "113" "3" " 6. kerület, Király utca " "jó állapotú" "nincs megadva" "nincs megadva" "3" "4" "van" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"2" "30.5" "34" "1" " 8. kerület, Baross utca " "felújított" "összkomfortos" "nincs megadva" "1" "6" "van" "3 m vagy magasabb" "gáz (konvektor)" "igen" "külön helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" "13 000 Ft/hó" NA NA NA NA
"3" "79.9" "80" "4" " 12. kerület, Béla király út " "jó állapotú" "összkomfortos" "nincs megadva" "2" "2" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "kelet" "panorámás" "nem" "legfelso emelet, nem tetotéri" "önálló garázs" "1981-2000 között" NA "5 m²" NA NA NA
"4" "120" "90" "2" " 6. kerület, Andrássy út " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"5" "43.9" "92" "3" " 7. kerület, Külso-Erzsébetváros " "felújítandó" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "dél" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA NA
"6" "79" "64" "3" " 5. kerület, Belváros " "jó állapotú" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA NA
"7" "48" "83" "3" " 13. kerület, Váci út 87. " "felújítandó" "komfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" "40 Ft/hó" NA "nincs" NA NA
"8" "85.5" "97" "3" " 2. kerület, Bimbó út " "közepes állapotú" "duplakomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "igen" "külön és egyben is" "nincs megadva" "panorámás" "nincs megadva" "nem tetotéri" "önálló garázs - kötelezo megvenni" "1981-2000 között" NA "5 m²" "van" "10 M Ft" NA
"9" "69.9" "45" "1" " 5. kerület, Belváros " "felújított" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA NA
"10" "36" "65" "3" " 11. kerület, Lágymányos – Muegyetem környéke " "közepes állapotú" "nincs megadva" "nincs megadva" "10" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "északnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA "5 m²" NA NA "nincs megadva"
"11" "24.99" "60" "3" " 19. kerület, Jáhn Ferenc utca " "felújított" "nincs megadva" "nincs megadva" "nincs megadva" "2" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "nincs megadva" "nincs megadva" "nincs megadva" "igen" "nincs megadva" "utca, közterület" NA NA NA NA NA NA
"12" "52.54" "120" "4.5" " 19. kerület, Jáhn Ferenc utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko), elektromos" "nem" "külön és egyben is" "nincs megadva" "udvari" "igen" "nincs megadva" "udvari beálló - benne van az árban" "2019" NA NA NA NA NA
"13" "28.2" "40" "1" " 13. kerület, Angyalföld " "jó állapotú" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA NA NA NA NA
"14" "63.1" "56" "2" " 6. kerület, Belso-Terézváros " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA NA
"15" "48.5" "70" "3" " 11. kerület, Albertfalva " "jó állapotú" "összkomfortos" "nincs megadva" "nincs megadva" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "északkelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "1950-1980 között" NA "5 m²" "van" NA "nincs megadva"
"16" "129.9" "141" "4" " 12. kerület, Magyar jakobinusok tere " "felújított" "duplakomfortos" "nincs megadva" "2" "3" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "kelet" "panorámás" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA NA
"17" "19.5" "37" "1" " 10. kerület, Liget utca 1/c " "nincs megadva" "nincs megadva" "nincs megadva" "2" "3" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA NA NA
"18" "25.9" "33" "1" " 8. kerület, Józsefváros – Orczynegyed " "jó állapotú" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" "30 000 Ft/hó" NA "nincs" NA NA
"19" "43.9" "73" "2" " 14. kerület, Bácskai utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "délkelet" "udvari" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950 elott" NA NA "nincs" NA NA
"20" "63" "105" "4" " 14. kerület, Nagyzugló " "felújított" "nincs megadva" "nincs megadva" "6" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "2001-2010 között" NA "4 m²" NA NA NA
