"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "erkely" "panelprogram"
"1" "51.9" "52" "2" " 12. kerület, Istenhegyi út " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "2" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "54.9" "54" "2" " 3. kerület, Óbuda-Óváros " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "igen" "külön helyiségben" "nyugat" "udvari" "nem" "nem tetotéri" "önálló garázs - megvásárolható" "van" "25 000 Ft/hó" "2 m²" NA
"3" "89.9" "95" "4" " 11. kerület, Szentimreváros " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "külön helyiségben" "dél" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" "van" NA "4 m²" NA
"4" "39.9" "71" "2" " 8. kerület, Népszínház utca 24. " "közepes állapotú" NA "összkomfortos" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "dél" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"5" "24.9" "33" "1" " 22. kerület, Játék utca " "felújított" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "van" NA NA NA
"6" "59.9" "70" "2" " 2. kerület, Szilágyi Erzsébet fasor " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"7" "42.9" "66" "2" " 7. kerület, Wesselényi utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "van" "3 m vagy magasabb" "gáz (cirko), cserépkályha" "igen" "külön helyiségben" "délnyugat" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA
"8" "31.5" "37" "1" " 3. kerület, Békásmegyer – Pünkösdfürdo " "újszeru" "2011" "összkomfortos" "nincs megadva" "2" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "3 m²" NA
"9" "84.9" "135" "3" " 13. kerület, Visegrádi utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "2" "6" "van" "3 m vagy magasabb" "gáz (konvektor), cserépkályha" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA
"10" "36.5" "62" "3" " 14. kerület, Ötvenes utca " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA "4 m²" "részt vett"
"11" "92.5" "76" "2" " 11. kerület, Sashegy " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "13 m²" NA
"12" "26.69" "53" "2" " 15. kerület, Drégelyvár utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "délkelet" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" "van" NA NA "részt vett"
"13" "26.5" "35" "1" " 2. kerület, Káplár utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délkelet" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
