"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "legkondicionalo" "rezsikoltseg" "panelprogram"
"1" "69.3" "78" "4" " 13. kerület, Frangepán utca 28-30 " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "6" "8" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön és egyben is" "északkelet" "kertre nézo" "13 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "4.45 M Ft" NA NA NA
"2" "59" "45" "2" " 5. kerület, Lipótváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délnyugat" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"3" "39.3" "48" "2" " 13. kerület, Röppentyu utca 32. " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "6" "8" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "udvari" NA "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "4.45 M Ft" NA NA NA
"4" "41.5" "46" "2" " 13. kerület, Angyalföld " "nincs megadva" "2011" "összkomfortos" "nincs megadva" "földszint" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "egy helyiségben" "nyugat" "kertre nézo" "9 m²" "igen" "nem tetotéri" "utca, közterület - fizetos övezet" NA "nincs" NA NA
"5" "34.9" "49" "2" " 9. kerület, Ifjúmunkás utca " "felújított" "1950-1980 között" "összkomfortos" "A" "4" "7" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "külön helyiségben" "délkelet" "udvari" "2 m²" "nem" NA "utca, közterület - ingyenes" NA "nincs" "35 000 Ft/hó" NA
"6" "120" "71" "2" " 5. kerület, Széchenyi rakpart " "felújítandó" NA "összkomfortos" "nincs megadva" "6" "8" "van" "3 m-nél alacsonyabb" "házközponti" "nem" "külön helyiségben" "nyugat" "panorámás" "3 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "nincs" NA NA
"7" "28.9" "32" "1" " 10. kerület, Gyárdulo " "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "7" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "északnyugat" "nincs megadva" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"8" "26.9" "55" "2" " 21. kerület, Bánya utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "4" "nincs megadva" "3 m-nél alacsonyabb" "nincs megadva" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "van" NA "nincs megadva"
"9" "28.9" "53" "2" " 10. kerület, Kobánya – Újhegyi lakótelep " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "3 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA "nincs megadva"
"10" "42.5" "56" "3" " 10. kerület, Kobánya – Óhegy " "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "8 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
