"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "erkely" "panelprogram"
"1" "69.9" "100" "3" " 11. kerület, Bercsényi utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "kelet" "utcai" "nem" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "26.9" "35" "1" " 19. kerület, Csokonai utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "10" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "egy helyiségben" "délkelet" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" "van" "19 000 Ft/hó" "4 m²" "nem vett részt"
"3" "59.9" "98" "3" " 13. kerület, Újlipótváros " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "4" "4" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"4" "52.9" "64" "2" " 2. kerület, Margit körút " "nincs megadva" NA "nincs megadva" "nincs megadva" "5" "7" "van" "3 m-nél alacsonyabb" "házközponti" "igen" "külön helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "van" "30 000 Ft/hó" "4 m²" NA
"5" "29.5" "52" "2" " 3. kerület, Óbudai lakótelep " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "kelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "nincs megadva"
"6" "27.9" "57" "2" " 3. kerület, Lukács György utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "5" "10" "van" "nincs megadva" "távfutés" "nem" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "van" NA NA "nincs megadva"
"7" "62" "70" "2" " 7. kerület, Király utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "igen" "egy helyiségben" "nyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"8" "45" "38" "2" " 11. kerület, Albertfalva – Kondorosi lakónegyed " "újszeru" "2015" "összkomfortos" "nincs megadva" "földszint" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "egy helyiségben" "kelet" "kertre nézo" "igen" "nincs megadva" "utca, közterület - ingyenes" "van" NA "11 m²" NA
"9" "37" "30" "1" " 2. kerület, Pasaréti út " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "nincs megadva" "elektromos" "igen" "egy helyiségben" "délkelet" "kertre nézo" "igen" "nincs megadva" "nincs megadva" NA "10 000 Ft/hó" NA NA
"10" "34.9" "70" "2" " 7. kerület, Külso-Erzsébetváros " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "2" "4" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "dél" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA "45 000 Ft/hó" NA NA
"11" "129.9" "198" "6" " 2. kerület, Törökvész " "közepes állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "nincs megadva" "nem" "külön helyiségben" "délkelet" "kertre nézo" "nem" "nincs megadva" "teremgarázs hely - benne van az árban" "van" "27 000 Ft/hó" "4 m²" NA
"12" "74.9" "88" "3" " 2. kerület, II/A kerület – Remetekertváros " "nincs megadva" "2018" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "133 m²" NA
"13" "209" "191" "5.5" " 5. kerület, Ferenciek tere 7-8 " "jó állapotú" NA "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA "65 m²" NA
"14" "37.9" "55" "2" " 11. kerület, Kelenföld " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "nincs megadva" "nincs megadva" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA NA NA
"15" "64.9" "67" "2" " 6. kerület, Paulay Ede utca 8. " "jó állapotú" NA "összkomfortos" "nincs megadva" "2" "4" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA
"16" "28.9" "40" "2" " 7. kerület, Külso-Erzsébetváros " "közepes állapotú" "1950 elott" "komfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"17" "19.8" "28" "1" " 7. kerület, Damjanich utca " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "nincs megadva" "délnyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"18" "58" "83" "2" " 11. kerület, Tas vezér utca " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "3 m²" NA
"19" "24.5" "64" "2" " 10. kerület, Harmat utca " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "4" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nyugat" "udvari" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA
"20" "25.9" "64" "3" " 15. kerület, Zsókavár utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "10 felett" "nincs megadva" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA "részt vett"
