"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "erkely" "parkolohely_ara" "lakopark_neve" "panelprogram" "rezsikoltseg"
"1" "35.9" "44" "3" " 8. kerület, József körút " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "nincs" "nincs megadva" "gáz (cirko)" "nem" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA NA
"2" "38.7" "47" "2" " 7. kerület, Rejto Jeno utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "6" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA NA NA
"3" "75.9" "87" "4" " 13. kerület, Angyalföld – Loportárdulo " "nincs megadva" "2019" "duplakomfortos" "nincs megadva" "1" "6" "van" "3 m-nél alacsonyabb" "hoszivattyú" "igen" "külön és egyben is" "északnyugat" "udvari" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "van" "7 m²" "4 M Ft" NA NA NA
"4" "83.2" "78" "4" " 8. kerület, T3 Green Home - lakások a város szívében " "új építésu" "2019" "összkomfortos" "AA++" "7" "7" "van" "3 m-nél alacsonyabb" "megújuló energia, mennyezeti hutés-futés" "igen" "egy helyiségben" "nincs megadva" "udvari" "nem" "legfelso emelet, nem tetotéri" "teremgarázs hely - megvásárolható" "van" "75.22 m²" "4.5 M Ft" "T3 Green Home - lakások a város szívében" NA NA
"5" "52.9" "78" "2" " 6. kerület, Szív utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "dél" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA NA NA
"6" "50" "55" "2" " 11. kerület, Lágymányos – Muegyetem környéke " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "6" "van" "3 m vagy magasabb" "házközponti" "nem" "külön helyiségben" "nincs megadva" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA NA NA NA
"7" "46.9" "78" "2" " 14. kerület, Kiszugló " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "udvari" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA NA NA
"8" "55" "73" "2" " 11. kerület, Ulászló utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "szuterén" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön és egyben is" "dél" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA NA NA NA
"9" "41.5" "62" "2" " 7. kerület, Dembinszky utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "van" NA NA NA NA NA
"10" "41" "49" "2" " 9. kerület, József Attila-lakótelep " "felújított" "1950-1980 között" "luxus" "nincs megadva" "3" "9" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület" "van" "2 m²" NA NA NA NA
"11" "35.49" "50" "2" " 11. kerület, Rátz László utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "9" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti, házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "dél" "nincs megadva" "nincs megadva" "legfelso emelet, nem tetotéri" "nincs megadva" "van" NA NA NA "részt vett" NA
