"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "legkondicionalo" "rezsikoltseg" "panelprogram"
"1" "58.9" "83" "3" " 1. kerület, Krisztinaváros – Váralja " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"2" "74.9" "63" "2" " 6. kerület, Ó utca " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "14 m²" NA NA NA
"3" "19.95" "38" "2" " 22. kerület, Árkász utca " "felújítandó" "1950 elott" "komfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m vagy magasabb" "egyéb" "nem" "nincs megadva" "nincs megadva" "utcai" "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA NA NA NA
"4" "28.5" "33" "1" " 11. kerület, Kelenföld " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "kelet" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"5" "30.8" "53" "2" " 14. kerület, Bolgárkertész utca 5. " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "van" "7 820 Ft/hó" NA
"6" "31.7" "49" "1" " 14. kerület, Ond vezér útja 19. " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "6" "10" "van" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület" "3 m²" "van" NA "részt vett"
"7" "30.9" "38" "2" " 10. kerület, Téglagyárdulo " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "elektromos" "nincs megadva" "nincs megadva" "északnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "10 m²" NA NA NA
"8" "48.7" "64" "3" " 11. kerület, Bartók Béla út " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "5" "6" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "nincs" "23 000 Ft/hó" NA
"9" "42.5" "55" "2" " 8. kerület, Horánszky utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "kelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"10" "74.9" "63" "2" " 6. kerület, Belso-Terézváros " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "14 m²" NA NA NA
"11" "32.9" "34" "1" " 3. kerület, Meggyfa utca " "felújított" NA "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "kelet" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"12" "240" "129" "4" " 5. kerület, Belváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"13" "35" "50" "2" " 11. kerület, Igmándi utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "3" "4" "nincs" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület" "4 m²" NA NA "nincs megadva"
"14" "25.9" "55" "1" " 3. kerület, Békásmegyeri lakótelep hegy felol " "közepes állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "10 felett" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "egy helyiségben" "kelet" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" "5 m²" "nincs" NA "nincs megadva"
"15" "30.9" "38" "2" " 10. kerület, Maglódi út " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "elektromos" "nincs megadva" "nincs megadva" "északnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "10 m²" NA NA NA
