"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "legkondicionalo" "erkely" "lakopark_neve" "parkolohely_ara" "rezsikoltseg"
"1" "25.49" "34" "1" " 4. kerület, Virág utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA NA NA NA
"2" "26.5" "50" "2" " 4. kerület, Istvántelki út " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "igen" "nincs megadva" NA "utca, közterület - ingyenes" "van" NA NA NA NA
"3" "17.9" "28" "1" " 20. kerület, Nagy Gyory István utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "északkelet" "utcai" "igen" "nincs megadva" NA "utca, közterület - ingyenes" NA NA NA NA NA
"4" "200.3" "140" "3" " 2. kerület, Törökvész út " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko), padlófutés" "nem" "külön és egyben is" "délnyugat" "panorámás" "nem" "nincs megadva" NA "önálló garázs - benne van az árban" "van" "92 m²" NA NA NA
"5" "44.9" "87" "3" " 8. kerület, Józsefváros – Csarnoknegyed " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA NA NA
"6" "27.9" "31" "1" " 3. kerület, Királyok útja " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "egy helyiségben" "dél" "kertre nézo" "nincs megadva" "nem tetotéri" NA "utca, közterület" NA NA NA NA NA
"7" "186.8" "94" "3" " 12. kerület, FS18 Residence " "új építésu" "2020" "luxus" "nincs megadva" "földszint" "2" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "nincs megadva" "külön helyiségben" "észak" "kertre nézo" "igen" "nincs megadva" NA "teremgarázs hely - kötelezo megvenni" "van" "31.92 m²" "FS18 Residence" "7 M Ft" NA
"8" "44.9" "72" "2" " 7. kerület, Dembinszky utca " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "nincs megadva" "délkelet" "utcai" "nem" "nem tetotéri" NA "utca, közterület" NA NA NA NA NA
"9" "69.89" "90" "3" " 7. kerület, Kertész utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "kelet" "utcai" "nincs megadva" "nincs megadva" NA "nincs megadva" NA "3 m²" NA NA NA
"10" "102" "88" "2" " 12. kerület, Denevér út " "újszeru" "1981-2000 között" "összkomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "délkelet" "kertre nézo" "igen" "nincs megadva" NA "teremgarázs hely - benne van az árban" NA "10 m²" NA NA NA
