"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "legkondicionalo" "rezsikoltseg" "parkolohely_ara"
"1" "36" "63" "2" " 11. kerület, Kelenföld – Fehérvári úti lakótelep " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "6" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "dél" "utcai" "5 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA NA
"2" "22" "28" "1" " 12. kerület, Városmajor utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "szuterén" "3" "nincs" "3 m-nél alacsonyabb" "elektromos" "nem" "egy helyiségben" "északkelet" "utcai" NA "nincs megadva" "nincs megadva" NA "utca, közterület - fizetos övezet" NA NA NA
"3" "26.4" "66" "1" " 9. kerület, Gyáli út 15/C " "jó állapotú" NA "nincs megadva" "nincs megadva" "földszint" "4" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" NA "utca, közterület - ingyenes" NA NA NA
"4" "44" "56" "2" " 11. kerület, Zólyomi út " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "délkelet" "utcai" "4 m²" "nem" "nem tetotéri" NA "utca, közterület" NA NA NA
"5" "134.99" "90" "3" " 11. kerület, Bartók Béla út " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "egyéb" "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" NA "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA
"6" "69.9" "87" "2" " 13. kerület, Budai Nagy Antal utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "6 m²" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA
"7" "73" "75" "3" " 11. kerület, Beregszász út " "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nyugat" "utcai" "5 m²" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA
"8" "63.5" "72" "2" " 12. kerület, Böszörményi út " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "2 m²" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA
"9" "73.99" "75" "3" " 11. kerület, Csurgói út " "felújított" "1981-2000 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "15 m²" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA
"10" "90.86" "88" "5" " 9. kerület, Középso-Ferencváros – Malmok " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA
