"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "panelprogram" "parkolohely_ara" "legkondicionalo" "rezsikoltseg"
"1" "37.9" "50" "2" " 11. kerület, Kisköre utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"2" "35.4" "44" "2" " 12. kerület, Várfok utca " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "kelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"3" "78.88" "100" "5" " 11. kerület, Lágymányos – Muegyetem környéke " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "4" "6" "van" "3 m vagy magasabb" "távfutés" "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "5 m²" NA NA NA NA
"4" "29.99" "69" "2" " 10. kerület, Harmat utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "egyéb" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "6 m²" NA NA NA NA
"5" "27.9" "53" "2" " 4. kerület, Rózsa utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "4 m²" "nincs megadva" NA NA NA
"6" "68.3" "83" "4" " 16. kerület, Cinkota – Honfoglalás lakópark " "nincs megadva" "2021" "összkomfortos" "nincs megadva" "1" "3" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "20.82 m²" NA "3.99 M Ft" NA NA
"7" "24.9" "50" "1" " 20. kerület, Bíró Mihály utca " "felújítandó" "1981-2000 között" "összkomfortos" "nincs megadva" "9" "9" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "északnyugat" "utcai" "nem" "nincs megadva" "utca, közterület - ingyenes" "3.57 m²" "nem vett részt" NA "nincs" NA
"8" "79.9" "94" "4" " 1. kerület, Víziváros " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "1" "4" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "igen" "nincs megadva" "nincs megadva" "1 m²" NA NA NA NA
"9" "21.9" "25" "1" " 12. kerület, Kiss János altábornagy utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"10" "42.8" "51" "1" " 11. kerület, Barázda utca " "közepes állapotú" NA "nincs megadva" "nincs megadva" "2" "3" "nincs" "nincs megadva" "házközponti" "nem" "nincs megadva" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "6 m²" NA NA NA NA
"11" "79.9" "95" "3" " 2. kerület, Török utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA "van" "15 000 Ft/hó"
"12" "65.9" "61" "2" " 13. kerület, Úszódaru utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "földszint" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "északkelet" "kertre nézo" "igen" "nem tetotéri" "utca, közterület - fizetos övezet" "24 m²" NA NA "nincs" NA
"13" "56.1" "71" "4" " 16. kerület, Cinkota-Csabaliget lakópark " "nincs megadva" "2021" "összkomfortos" "nincs megadva" "1" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "délnyugat" "panorámás" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "4.64 m²" NA "3.99 M Ft" NA NA
"14" "56.75" "77" "3" " 14. kerület, Nagyzugló " "nincs megadva" "1950-1980 között" "összkomfortos" "nincs megadva" "nincs megadva" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nyugat" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA "16 000 Ft/hó"
"15" "21" "33" "1" " 18. kerület, Havanna-lakótelep " "nincs megadva" NA "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" NA "nincs megadva" NA NA NA
"16" "42.5" "44" "1" " 6. kerület, Ó utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "2" "nincs" "nincs megadva" "gáz (konvektor)" "igen" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA NA
"17" "51" "64" "4" " 16. kerület, Cinkota – Honfoglalás lakópark " "nincs megadva" "2021" "összkomfortos" "nincs megadva" "1" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem" "nincs megadva" "udvari beálló - megvásárolható" "4.14 m²" NA "1.99 M Ft" NA NA
"18" "44.7" "56" "3" " 16. kerület, Cinkota – Honfoglalás lakópark " "nincs megadva" "2021" "összkomfortos" "nincs megadva" "1" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "délkelet" "panorámás" "nem" "nincs megadva" "udvari beálló - megvásárolható" "5.95 m²" NA "1.99 M Ft" NA NA
"19" "38.5" "53" "2" " 13. kerület, Népfürdo utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "4 m²" "nincs megadva" NA NA "8 000 Ft/hó"
"20" "30.9" "37" "1" " 16. kerület, Cinkota-Csabaliget lakópark " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "1" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "délnyugat" "panorámás" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "4.8 m²" NA "3.99 M Ft" NA NA
