"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "panelprogram" "parkolohely_ara"
"1" "28.9" "60" "2" " 8. kerület, Szeszgyár utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "cserépkályha, gáz (konvektor)" "15 000 Ft/hó" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "1 m²" "nem" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA
"2" "71" "105" "3" " 14. kerület, Kerepesi út " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "külön és egyben is" "dél" "panorámás" NA "nincs megadva" "tetotéri" "utca, közterület - ingyenes" "nincs" NA NA
"3" "34.9" "66" "2.5" " 13. kerület, Béke utca 79. " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "6" "6" "van" "3 m-nél alacsonyabb" "távfutés, házközponti" "40 000 Ft/hó" "igen" "külön helyiségben" "nincs megadva" "panorámás" "3 m²" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" "nincs" "nincs megadva" NA
"4" "29.9" "63" "2" " 20. kerület, Török Flóris utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "12 000 Ft/hó" "nem" "külön helyiségben" "északnyugat" "nincs megadva" NA "nincs megadva" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" "van" "részt vett" NA
"5" "43.5" "61" "2" " 11. kerület, Bartók Béla út 51. " "jó állapotú" "1950-1980 között" "összkomfortos" "CC" "félemelet" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "30 000 Ft/hó" "nem" "egy helyiségben" "észak" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA
"6" "44.9" "61" "2" " 7. kerület, Rákóczi út 64. " "felújított" NA "nincs megadva" "nincs megadva" "1" "3" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délkelet" "udvari" NA "nincs megadva" "nincs megadva" "udvari beálló - bérelheto" "van" NA "3 500 Ft/hó"
"7" "41" "54" "1" " 3. kerület, Deru utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "nyugat" "kertre nézo" "5 m²" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"8" "32.9" "65" "3" " 20. kerület, Kossuth Lajos utca 89. " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "25 000 Ft/hó" "igen" "külön helyiségben" "nincs megadva" "utcai" NA "igen" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA
"9" "58.5" "74" "2" " 8. kerület, József körút 30-32 " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "van" "3 m vagy magasabb" "padlófutés" NA "igen" "egy helyiségben" "nincs megadva" "udvari" NA "igen" "nem tetotéri" "nincs megadva" "van" NA NA
"10" "62.8" "90" "2" " 7. kerület, Bajza utca " "nincs megadva" "1950 elott" "összkomfortos" "nincs megadva" "4" "6" "van" "3 m vagy magasabb" "házközponti" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "6 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"11" "53" "34" "1" " 7. kerület, Károly körút 25. " "felújított" NA "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "nincs megadva" NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"12" "105" "85" "4" " 5. kerület, Sas utca 20. " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "3" "3" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "nincs megadva" "udvari" NA "nem" "nem tetotéri" "utca, közterület" NA NA NA
"13" "26" "66" "2" " 15. kerület, Késmárk utca 3. " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "35 000 Ft/hó" "igen" "külön helyiségben" "délkelet" "panorámás" "2 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" "nem vett részt" NA
"14" "35.99" "50" "2" " 11. kerület, Etele út " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés" "25 000 Ft/hó" "nem" "külön helyiségben" "nyugat" "kertre nézo" "3 m²" "nem" "nem tetotéri" "utca, közterület" "van" "nem vett részt" NA
"15" "40.9" "78" "3" " 11. kerület, Vofély utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "25 000 Ft/hó" "igen" "külön helyiségben" "nincs megadva" "panorámás" "5 m²" "nem" "nincs megadva" "utca, közterület" NA "részt vett" NA
"16" "99.9" "130" "4" " 11. kerület, Olt utca 27. " "felújított" "1981-2000 között" "duplakomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "dél" "panorámás" "24 m²" "nem" "zárószint" "önálló garázs" "van" NA NA
"17" "89.5" "56" "2" " 12. kerület, Dolgos utca " "újszeru" "2001-2010 között" "összkomfortos" "AA+" "3" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "egy helyiségben" "délkelet" "panorámás" NA "nincs megadva" "nincs megadva" "teremgarázs hely" "van" NA NA
"18" "25" "27" "1" " 8. kerület, Fecske utca 17-19 " "jó állapotú" "2001-2010 között" "komfortos" "CC" "5" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "igen" "egy helyiségben" "nyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "van" NA NA
"19" "36.6" "84" "3" " 21. kerület, Kozmosz sétány " "felújított" "1981-2000 között" "duplakomfortos" "CC" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" NA "nem" "külön és egyben is" "nincs megadva" "nincs megadva" "4.8 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "van" "nincs megadva" NA
"20" "129" "137" "4" " 2. kerület, Véka utca " "újszeru" "2001-2010 között" "luxus" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "mennyezeti hutés-futés, hoszivattyú" "16 000 Ft/hó" "nem" "külön és egyben is" "dél" "utcai" "25 m²" "igen" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" "van" NA "5 M Ft"
