"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "rezsikoltseg" "erkely" "panelprogram"
"1" "18.5" "29" "1" " 8. kerület, Józsefváros – Magdolnanegyed " "jó állapotú" "nincs megadva" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"2" "42.9" "62" "3" " 9. kerület, Mester utca " "jó állapotú" "komfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "igen" "egy helyiségben" "délkelet" "udvari" "nincs megadva" "nem tetotéri" "udvari beálló - bérelheto" "1950 elott" "nincs" "18 000 Ft/hó" NA NA
"3" "45" "68" "2" " 13. kerület, Reitter Ferenc utca " "felújítandó" "összkomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "igen" "külön helyiségben" "nincs megadva" "udvari" "igen" "nem tetotéri" "utca, közterület" NA "nincs" NA NA NA
"4" "75.9" "58" "4" " 7. kerület, Kertész utca " "felújított" "duplakomfortos" "nincs megadva" "nincs megadva" "földszintes" "van" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "1950 elott" NA NA NA NA
"5" "58.5" "65" "2" " 18. kerület, Ganz-kertváros " "jó állapotú" "összkomfortos" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "nincs megadva" "nincs megadva" "külön helyiségben" "délnyugat" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "36 m²" NA
"6" "151" "99" "3" " 3. kerület, Nagyszombat utca " "újszeru" "nincs megadva" "nincs megadva" "9" "9" "van" "nincs megadva" "padlófutés" "nincs megadva" "külön és egyben is" "észak" "kertre nézo" "nem" "nem tetotéri" "nincs megadva" "2001-2010 között" "van" "40 000 Ft/hó" "19 m²" NA
"7" "62.22" "69" "3" " 3. kerület, Királyok útja 291. " "jó állapotú" "összkomfortos" "AA" "1" "6" "van" "3 m-nél alacsonyabb" "házközponti" "igen" "külön és egyben is" "nincs megadva" "udvari" "nem" "nem tetotéri" "nincs megadva" "2001-2010 között" NA NA "13.14 m²" NA
"8" "27.9" "27" "1" " 3. kerület, Kaszásduloi lakótelep " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "nincs megadva" "távfutés" "nincs megadva" "egy helyiségben" "dél" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA "nincs megadva"
"9" "46.9" "53" "2" " 9. kerület, Ferenc körút " "felújított" "összkomfortos" "CC" "3" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "délkelet" "udvari" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" "1950-1980 között" "van" "15 000 Ft/hó" NA NA
"10" "52.5" "56" "2" " 12. kerület, Németvölgyi út " "közepes állapotú" "összkomfortos" "nincs megadva" "3" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor), cserépkályha" "nincs megadva" "egy helyiségben" "délkelet" "panorámás" "nincs megadva" "legfelso emelet, nem tetotéri" "nincs megadva" "1950-1980 között" NA NA "3 m²" NA
"11" "61.9" "90" "5" " 6. kerület, Teréz körút " "felújított" "duplakomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délnyugat" "nincs megadva" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" NA NA NA NA
"12" "25.9" "58" "2" " 21. kerület, József Attila utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "3 m²" "nincs megadva"
"13" "53" "82" "4" " 4. kerület, Káposztásmegyer I. lakótelep " "jó állapotú" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1981-2000 között" "van" "4 000 Ft/hó" "13 m²" "nem vett részt"
"14" "65.35" "61" "2" " 11. kerület, Madárhegy " "nincs megadva" "összkomfortos" "nincs megadva" "1" "3" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "nincs megadva" "dél" "panorámás" "nem" "nincs megadva" "teremgarázs hely" "2019" NA NA "21 m²" NA
"15" "37.9" "68" "2.5" " 14. kerület, Szentmihályi út " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "45 Ft/hó" NA "nincs megadva"
"16" "48" "77" "3" " 14. kerület, Istvánmezo " "jó állapotú" "összkomfortos" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"17" "87.9" "140" "3" " 8. kerület, József utca " "felújított" "nincs megadva" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "észak" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "1950 elott" NA NA NA NA
"18" "31.9" "43" "2" " 8. kerület, Népszínház utca " "közepes állapotú" "nincs megadva" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "dél" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" "1950 elott" NA NA NA NA
"19" "33.8" "53" "2" " 4. kerület, Újpesti lakótelep " "felújított" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "észak" "utcai" "nem" "nincs megadva" "utca, közterület - ingyenes" "1981-2000 között" NA "8 000 Ft/hó" "5 m²" "részt vett"
"20" "118.6" "117" "3" " 11. kerület, Madárhegy " "nincs megadva" "összkomfortos" "nincs megadva" "földszint" "3" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "nincs megadva" "dél" "kertre nézo" "igen" "nincs megadva" "teremgarázs hely" "2019" NA NA "54 m²" NA
