"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "erkely" "panelprogram" "parkolohely_ara"
"1" "11.9" "22" "1" " 15. kerület, Adria utca " "felújítandó" "1950-1980 között" "komfort nélküli" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m-nél alacsonyabb" "nincs megadva" "igen" "nincs megadva" "délkelet" "kertre nézo" "igen" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA NA
"2" "78.9" "79" "2" " 5. kerület, Ferenciek tere " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "3" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "van" "15 000 Ft/hó" NA NA NA
"3" "39.9" "57" "3" " 8. kerület, Józsefváros – Csarnoknegyed " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "2" "3" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "26 600 Ft/hó" "2.4 m²" NA NA
"4" "25.5" "58" "2" " 17. kerület, Újlak utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "nem" "nincs megadva" "utca, közterület - ingyenes" "van" NA "5 m²" "nincs megadva" NA
"5" "29.99" "67" "2" " 4. kerület, Káposztásmegyer I. lakótelep " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "7" "nincs megadva" "van" "3 m vagy magasabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "északkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA "nincs megadva" NA
"6" "43" "42" "2" " 6. kerület, Vörösmarty utca " "felújított" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"7" "69.9" "84" "4" " 13. kerület, Meder utca 2. " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "2" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön és egyben is" "kelet" "utcai" "nincs megadva" "nem tetotéri" "önálló garázs - megvásárolható" NA NA "24.2 m²" NA "4 M Ft"
"8" "25.8" "67" "2" " 13. kerület, Visegrádi utca " "jó állapotú" "1950 elott" "komfortos" "nincs megadva" "szuterén" "4" "nincs" "3 m-nél alacsonyabb" "elektromos" "nem" "egy helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" "30 000 Ft/hó" NA NA NA
"9" "65.9" "86" "2" " 7. kerület, Középso-Erzsébetváros " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"10" "47.9" "69" "4" " 7. kerület, Garay utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
