"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "rezsikoltseg" "parkolohely_ara"
"1" "27.9" "32" "1" " 14. kerület, Szugló utca " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "földszint" "6" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs" "igen" "egy helyiségben" "északkelet" "kertre nézo" "6 m²" "igen" "nem tetotéri" "nincs megadva" NA NA NA
"2" "46" "63" "2" " 6. kerület, Ó utca " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "dél" "udvari" NA "nem" "nem tetotéri" "utca, közterület" NA NA NA
"3" "45" "59" "2" " 13. kerület, Kádár utca 4. " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"4" "55" "82" "3" " 14. kerület, Hungária körút " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "igen" "külön helyiségben" "nyugat" "kertre nézo" "2 m²" "nem" "nem tetotéri" "utca, közterület" NA NA NA
"5" "39.9" "68" "2" " 13. kerület, Petneházy utca " "közepes állapotú" NA "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"6" "31.5" "70" "2" " 15. kerület, Páskomliget utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "igen" "külön helyiségben" "északkelet" "panorámás" "7 m²" "nem" "nem tetotéri" "utca, közterület" "nem vett részt" "13 700 Ft/hó" NA
"7" "33.99" "61" "2" " 13. kerület, Lehel utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nincs megadva" "külön helyiségben" "délnyugat" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA "40 000 Ft/hó" NA
"8" "35.9" "65" "3" " 4. kerület, Káposztásmegyer I. lakótelep " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "7" "10" "nincs megadva" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "egy helyiségben" "dél" "utcai" "3 m²" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"9" "49" "68" "4" " 13. kerület, Szent László út " "jó állapotú" "2001-2010 között" "duplakomfortos" "nincs megadva" "3" "4" "nincs" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"10" "38.9" "61" "2" " 13. kerület, Népfürdo utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "8" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "nem" "nincs megadva" "nyugat" "utcai" "4 m²" "nem" "nem tetotéri" "utca, közterület" NA "30 000 Ft/hó" NA
"11" "71.5" "83" "3" " 13. kerület, Angyalföldi út " "nincs megadva" "2020" "duplakomfortos" "nincs megadva" "2" "6" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés, hoszivattyú" "van" "igen" "nincs megadva" "délkelet" "kertre nézo" "7 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA "6 M Ft"
"12" "26.9" "34" "1" " 18. kerület, Miklóstelep " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délkelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"13" "21.99" "34" "1" " 18. kerület, Havanna lakótelep " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "8" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA
"14" "24.5" "47" "2" " 21. kerület, Ady Endre út " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "részt vett" "9 500 Ft/hó" NA
"15" "40" "45" "2" " 6. kerület, Weiner Leó utca " "felújított" "1950 elott" "duplakomfortos" "A+" "3" "3" "nincs" "3 m vagy magasabb" "gázkazán" "van" "nem" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"16" "31.5" "61" "2" " 15. kerület, Nyírpalota út " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "nincs megadva" "északkelet" "nincs megadva" "3 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA
"17" "49.99" "53" "3" " 7. kerület, Kazinczy utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"18" "38" "49" "2" " 7. kerület, Murányi utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "4" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "dél" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"19" "247" "118" "4" " 2. kerület, Vérhalom " "nincs megadva" "2020" "luxus" "nincs megadva" "3" "3" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés, hoszivattyú" "van" "igen" "külön és egyben is" "délkelet" "panorámás" "123 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA "6 M Ft"
"20" "62.9" "81" "3" " 7. kerület, Rottenbiller utca " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
