"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "legkondicionalo" "panelprogram" "parkolohely_ara"
"1" "154.9" "124" "5" " 3. kerület, Újlak " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "6" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "nincs megadva" "kelet" "panorámás" "26 m²" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"2" "74.9" "92" "3" " 13. kerület, Visegrádi utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "5" "5" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nyugat" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"3" "34.9" "57" "2" " 10. kerület, Korösi Csoma Sándor út " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "2 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"4" "35" "38" "1" " 8. kerület, Józsefváros – Magdolnanegyed " "felújított" NA "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" "6 000 Ft/hó" NA NA NA
"5" "53.9" "81" "3" " 15. kerület, Bercsényi Miklós utca " "újszeru" "2001-2010 között" "duplakomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "egy helyiségben" "délnyugat" "kertre nézo" "42 m²" "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA "van" NA NA
"6" "135" "153" "4" " 6. kerület, Teréz körút " "felújítandó" "1950 elott" "duplakomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "kelet" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA
"7" "34.9" "38" "1" " 7. kerület, Nefelejcs utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "délnyugat" "udvari" NA "nem" "legfelso emelet, nem tetotéri" "udvari beálló - benne van az árban" NA "nincs" NA NA
"8" "95.9" "115" "2" " 7. kerület, Belso-Erzsébetváros " "felújítandó" "1950 elott" "duplakomfortos" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "cserépkályha" "nincs megadva" "külön és egyben is" "délkelet" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA
"9" "79.9" "90" "3" " 2. kerület, Víziváros " "nincs megadva" NA "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "kelet" "nincs megadva" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"10" "31" "58" "2" " 17. kerület, Gyökér utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "2 m²" "nincs megadva" "nincs megadva" "nincs megadva" "45 000 Ft/hó" NA "nincs megadva" NA
