"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "rezsikoltseg" "panelprogram"
"1" "99" "71" "3" " 13. kerület, Úszódaru utca " "újszeru" "2019" "összkomfortos" "nincs megadva" "8" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "60 m²" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" "5 M Ft" NA NA
"2" "72" "56" "2" " 13. kerület, Úszódaru utca " "újszeru" "2019" "összkomfortos" "nincs megadva" "8" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "14 m²" "nem" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA
"3" "72" "56" "2" " 13. kerület, Úszódaru utca " "újszeru" "2019" "összkomfortos" "nincs megadva" "7" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "14 m²" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" "5 M Ft" NA NA
"4" "120" "100" "4" " 13. kerület, Úszódaru utca " "újszeru" "2019" "duplakomfortos" "nincs megadva" "7" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "16 m²" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" "5 M Ft" NA NA
"5" "79.9" "80" "3" " 6. kerület, Szinyei Merse Pál utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"6" "60.9" "49" "2.5" " 7. kerület, Erzsébet körút " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"7" "42.7" "40" "2" " 13. kerület, Pannónia utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "dél" "udvari" NA "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"8" "39.9" "40" "1" " 12. kerület, Határor út " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "3" "nincs" "nincs megadva" "gáz (konvektor)" "nincs" "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" "8 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA
"9" "110" "147" "4" " 5. kerület, Veres Pálné utca " "jó állapotú" "2001-2010 között" "duplakomfortos" "nincs megadva" "3" "4" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "igen" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "55 000 Ft/hó" NA
"10" "134.99" "87" "2" " 11. kerület, Bartók Béla út " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "2" "3" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "nyugat" "kertre nézo" NA "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"11" "59.9" "71" "2" " 2. kerület, Kandó Kálmán utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "6" "van" "nincs megadva" "házközponti" NA "nincs megadva" "külön helyiségben" "kelet" "utcai" "6 m²" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"12" "18.5" "25" "1" " 13. kerület, Angyalföld – Béke–Tatai utcai lakótelep " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "földszintes" "nincs" "3 m vagy magasabb" "elektromos" NA "nincs megadva" "nincs megadva" "kelet" "utcai" NA "igen" "nincs megadva" "utca, közterület" NA NA NA
"13" "33" "50" "2" " 14. kerület, Padlizsán utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "délkelet" "panorámás" "2 m²" "nincs megadva" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" NA NA NA
"14" "28.5" "51" "1" " 15. kerület, Rákospalota " "újszeru" "1981-2000 között" "nincs megadva" "nincs megadva" "földszint" "3" "nincs" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"15" "89.8" "107" "3" " 13. kerület, Hollán Erno utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "kelet" "utcai" "5 m²" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"16" "64.9" "60" "1" " 12. kerület, Béla király út " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "északkelet" "kertre nézo" "13 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"17" "29.26" "36" "2" " 13. kerület, Újlipótvárosi lakótelep " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "5" "10" "van" "nincs megadva" "távfutés" NA "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva"
"18" "24.5" "36" "1" " 15. kerület, Újpalota " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "9" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "nincs megadva"
"19" "69" "87" "2" " 6. kerület, Külso-Terézváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "északkelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"20" "22.9" "26" "1" " 7. kerület, Nefelejcs utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "elektromos" NA "nem" "egy helyiségben" "délnyugat" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
