"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "parkolohely_ara" "panelprogram"
"1" "48" "86" "3" " 14. kerület, Róna utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "14 700 Ft/hó" "nem" "külön helyiségben" "északnyugat" "kertre nézo" "16 m²" "nincs megadva" "nem tetotéri" "udvari beálló - benne van az árban" NA NA NA
"2" "79.9" "75" "2" " 5. kerület, Hercegprímás utca " "felújítandó" NA "összkomfortos" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "cserépkályha" NA "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"3" "58.9" "86" "3" " 11. kerület, Lágymányos – Muegyetem környéke " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "kelet" "utcai" "4 m²" "nem" "nincs megadva" "utca, közterület - fizetos övezet" "nincs" NA NA
"4" "27.4" "30" "1" " 6. kerület, Nagymezo utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"5" "65" "85" "4" " 14. kerület, Locsei út " "újszeru" "2011" "duplakomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "30 000 Ft/hó" "igen" "külön és egyben is" "dél" "panorámás" "10 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" "van" "5 M Ft" NA
"6" "99.9" "185" "4" " 11. kerület, Lágymányos – Muegyetem környéke " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "igen" "külön helyiségben" "kelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA
"7" "45" "64" "3" " 6. kerület, Szív utca " "felújítandó" "1950 elott" "duplakomfortos" "nincs megadva" "földszint" "4" "nincs megadva" "3 m-nél alacsonyabb" "elektromos" "8 000 Ft/hó" "nincs megadva" "egy helyiségben" "dél" "udvari" NA "nincs megadva" "nem tetotéri" "utca, közterület" "van" NA NA
"8" "31.5" "48" "2" " 3. kerület, Szolo utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "9" "10" "van" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nyugat" "panorámás" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "részt vett"
"9" "125" "114" "5" " 11. kerület, Madárhegy " "újszeru" "2017" "duplakomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "külön és egyben is" "nincs megadva" "kertre nézo" "45 m²" "igen" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" NA NA NA
"10" "52" "62" "2" " 6. kerület, Izabella utca 89. " "jó állapotú" NA "komfortos" "nincs megadva" "2" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" "16 000 Ft/hó" "nincs megadva" "egy helyiségben" "kelet" "utcai" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület" "van" NA NA
"11" "46" "56" "1" " 2. kerület, Margit körút 40. " "jó állapotú" NA "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "15 000 Ft/hó" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"12" "87" "87" "3" " 6. kerület, Oktogon 4. " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "nincs megadva" NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "van" NA NA
"13" "29.9" "56" "2" " 19. kerület, Kós Károly tér " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "elektromos, gáz (konvektor)" NA "nem" "egy helyiségben" "kelet" "utcai" NA "nem" "nem tetotéri" "önálló garázs - benne van az árban" "nincs" NA NA
"14" "147.5" "62" "2" " 5. kerület, Széchenyi rakpart " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "házközponti" NA "nincs megadva" "külön helyiségben" "nyugat" "panorámás" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA
"15" "74.9" "61" "3" " 2. kerület, Kuruclesi út " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "13 000 Ft/hó" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "7 m²" "nincs megadva" "nincs megadva" "önálló garázs - benne van az árban" NA NA NA
"16" "47.78" "61" "2" " 13. kerület, Angyalföld – Béke–Tatai utcai lakótelep " "új építésu" "2019" "összkomfortos" "nincs megadva" "3" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "igen" "külön helyiségben" "nyugat" "udvari" "7 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely" "nincs" NA NA
"17" "86" "90" "4" " 13. kerület, Úszódaru utca 5. " "nincs megadva" "2019" "duplakomfortos" "nincs megadva" "1" "9" "van" "3 m-nél alacsonyabb" "házközponti" NA "nincs megadva" "külön és egyben is" "dél" "panorámás" "16.72 m²" "nincs megadva" "nincs megadva" "teremgarázs hely" "van" NA NA
"18" "26.3" "28" "1" " 14. kerület, Alsórákos " "felújított" NA "komfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nem" "egy helyiségben" "dél" "utcai" NA "nem" "nem tetotéri" "utca, közterület" "nincs" NA NA
"19" "65.9" "86" "2" " 7. kerület, Erzsébet körút " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"20" "21.99" "35" "1" " 8. kerület, Orczy út " "felújított" NA "összkomfortos" "nincs megadva" "3" "3" "nincs" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
