"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "legkondicionalo" "rezsikoltseg" "panelprogram"
"1" "180" "125" "4" " 12. kerület, Krisztinaváros " "nincs megadva" "2019" "duplakomfortos" "nincs megadva" "3" "5" "van" "nincs megadva" "hoszivattyú" "igen" "egy helyiségben" "délkelet" "panorámás" "6 m²" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" "6.5 M Ft" NA NA NA
"2" "97" "109" "4" " 3. kerület, Ürömhegy " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "nincs megadva" "egyéb" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "103 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"3" "109.9" "131" "5" " 14. kerület, Alsórákos " "felújított" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön és egyben is" "délkelet" "kertre nézo" "8 m²" "nem" "nem tetotéri" "önálló garázs" NA "van" "12 000 Ft/hó" NA
"4" "55" "54" "2" " 11. kerület, Bercsényi utca " "újszeru" "1950-1980 között" "összkomfortos" "nincs megadva" "5" "7" "van" "3 m-nél alacsonyabb" "házközponti" "nem" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA "van" NA NA
"5" "56" "74" "2" " 11. kerület, Budafoki út 81. " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "délkelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "nincs" "40 000 Ft/hó" NA
"6" "30.5" "45" "1" " 14. kerület, Kerepesi út " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "délnyugat" "udvari" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA "nincs" "25 000 Ft/hó" NA
"7" "59.79" "98" "3" " 9. kerület, Kinizsi utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "5" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "igen" "külön helyiségben" "délkelet" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA "nincs" "45 000 Ft/hó" NA
"8" "26.9" "65" "2" " 21. kerület, Görgey Artúr tér " "jó állapotú" NA "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "6 m²" "nincs megadva" "nincs megadva" "utca, közterület" NA "van" "30 000 Ft/hó" "nem vett részt"
"9" "90" "96" "3" " 12. kerület, Kissvábhegyi út 4-6 " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko), padlófutés" "nem" "külön helyiségben" "kelet" "panorámás" "6 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "5 M Ft" "nincs" "46 000 Ft/hó" NA
"10" "51.5" "76" "2" " 3. kerület, Lajos utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" "6 m²" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA
"11" "69" "80" "2" " 12. kerület, Diós árok 49. " "felújítandó" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "kertre nézo" "8 m²" "nincs megadva" "nincs megadva" "önálló garázs" NA NA NA NA
"12" "19.8" "41" "1" " 10. kerület, Pongrácz út " "felújítandó" "1950-1980 között" "félkomfortos" "nincs megadva" "2" "2" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA
"13" "49.99" "89" "2" " 10. kerület, Kápolna tér " "újszeru" "2001-2010 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "15 m²" "nincs megadva" "nem tetotéri" "udvari beálló" NA NA NA NA
