"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "rezsikoltseg" "erkely" "legkondicionalo" "panelprogram" "lakopark_neve" "parkolohely_ara"
"1" "39.8" "54" "1" " 6. kerület, Rózsa utca " "jó állapotú" "összkomfortos" "nincs megadva" "félemelet" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "délnyugat" "utcai" "nem" "nincs megadva" "udvari beálló - benne van az árban" NA NA NA NA NA NA NA
"2" "80.5" "103" "3" " 9. kerület, Ülloi út " "felújított" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "délkelet" "utcai" "nem" "nincs megadva" "utca, közterület - fizetos övezet" "1950 elott" "25 000 Ft/hó" "4 m²" NA NA NA NA
"3" "99" "96" "3" " 5. kerület, Belgrád rakpart " "felújított" "duplakomfortos" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" "30 000 Ft/hó" NA "van" NA NA NA
"4" "31.5" "41" "1" " 7. kerület, Hernád utca " "jó állapotú" "összkomfortos" "nincs megadva" "2" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nem" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" "1950 elott" NA NA NA NA NA NA
"5" "59.9" "86" "2" " 6. kerület, Belso-Terézváros " "jó állapotú" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "kelet" "utcai" "nincs megadva" "tetotéri" "nincs megadva" NA NA NA NA NA NA NA
"6" "72" "113" "4" " 12. kerület, Márvány utca " "felújított" "duplakomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "4 m²" NA NA NA NA
"7" "32.5" "62" "3" " 15. kerület, Rákospalota " "jó állapotú" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "1981-2000 között" NA NA NA NA NA NA
"8" "36" "48" "2" " 13. kerület, Pannónia utca 91. " "jó állapotú" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "falfutés" "igen" "külön helyiségben" "nyugat" "utcai" "igen" "nem tetotéri" "utca, közterület - fizetos övezet" "1950-1980 között" "25 000 Ft/hó" "3.5 m²" "van" "nem vett részt" NA NA
"9" "37.4" "56" "2" " 13. kerület, Frangepán utca " "újszeru" "összkomfortos" "nincs megadva" "földszint" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "2001-2010 között" NA "16.6 m²" NA NA NA NA
"10" "92.8" "128" "4" " 11. kerület, Bartók Béla út " "jó állapotú" "duplakomfortos" "nincs megadva" "5" "6" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "kelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "1950 elott" NA NA NA NA NA NA
"11" "121.89" "123" "4" " 15. kerület, Hubay Garden " "új építésu" "duplakomfortos" "nincs megadva" "3" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" "nem" "tetotéri" "teremgarázs hely - megvásárolható" "2020" NA "52.9 m²" NA NA "Hubay Garden" "3.81 M Ft"
"12" "47.39" "53" "2" " 13. kerület, Tahi utca " "nincs megadva" "összkomfortos" "nincs megadva" "4" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "északkelet" "panorámás" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "2020" NA "6.45 m²" NA NA NA "3.5 M Ft"
"13" "47.62" "55" "2" " 13. kerület, Tahi utca " "nincs megadva" "összkomfortos" "nincs megadva" "4" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "északkelet" "panorámás" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "2020" NA "3 m²" NA NA NA "3.5 M Ft"
"14" "77.9" "93" "2" " 13. kerület, Újlipótváros " "felújítandó" "nincs megadva" "nincs megadva" "4" "5" "van" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" "1950 elott" NA "2.5 m²" NA NA NA NA
"15" "34.9" "49" "2" " 14. kerület, Rákosszeg park " "felújított" "nincs megadva" "nincs megadva" "1" "4" "nincs megadva" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA NA
"16" "30.49" "58" "2" " 13. kerület, Kartács utca " "felújítandó" "összkomfortos" "nincs megadva" "félemelet" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA NA NA NA NA NA
"17" "41.9" "68" "3" " 14. kerület, Örs vezér tere " "jó állapotú" "nincs megadva" "nincs megadva" "3" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "dél" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "2.5 m²" NA "nincs megadva" NA NA
"18" "23.9" "64" "3" " 10. kerület, Harmat utca " "felújítandó" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA "35 000 Ft/hó" NA NA NA NA NA
"19" "25.5" "53" "2" " 15. kerület, Nyírpalota út " "jó állapotú" "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA "részt vett" NA NA
"20" "29.8" "44" "1" " 15. kerület, Illyés Gyula utca " "jó állapotú" "nincs megadva" "nincs megadva" "3" "5" "van" "nincs megadva" "gáz (cirko)" "igen" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "2001-2010 között" "25 000 Ft/hó" NA NA NA NA NA
