"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "panelprogram" "parkolohely_ara"
"1" "53.5" "59" "1" " 7. kerület, Izabella utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "egyéb" "nincs megadva" "nincs megadva" "délkelet" "udvari" "3 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"2" "19.5" "35" "1" " 21. kerület, Csepel – Ady Endre úti lakótelep " "felújítandó" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "egy helyiségben" "nincs megadva" "utcai" "4 m²" "nem" "nincs megadva" "utca, közterület - ingyenes" "nincs" "25 000 Ft/hó" "nem vett részt" NA
"3" "26.5" "27" "1" " 7. kerület, Hernád utca " "jó állapotú" NA "duplakomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA
"4" "296" "80" "3" " 5. kerület, Szent István tér " "felújított" "1950 elott" "luxus" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "észak" "panorámás" NA "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"5" "32" "74" "3" " 17. kerület, Pesti út " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "5" "nincs" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "délkelet" "utcai" "3 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" "van" NA "nem vett részt" NA
"6" "32.99" "50" "2" " 17. kerület, Pesti út " "újszeru" "2019" "összkomfortos" "AA+" "földszint" "2" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" NA "igen" "nincs megadva" "udvari beálló - benne van az árban" NA NA NA NA
"7" "52.9" "82" "4" " 6. kerület, Munkácsy Mihály utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "északkelet" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA NA
"8" "46" "48" "1" " 2. kerület, Zuhatag sor " "újszeru" "2001-2010 között" "nincs megadva" "nincs megadva" "3" "3" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "délnyugat" "kertre nézo" NA "nincs megadva" "tetotéri" "teremgarázs hely - megvásárolható" NA NA NA "4 M Ft"
"9" "129" "128" "4" " 11. kerület, Péterhegyi lejto " "jó állapotú" "2001-2010 között" "duplakomfortos" "nincs megadva" "2" "2" "nincs" "nincs megadva" "gáz (cirko)" "nem" "külön és egyben is" "délnyugat" "panorámás" "28 m²" "nem" "tetotéri" "teremgarázs hely - kötelezo megvenni" "van" NA NA "6 M Ft"
"10" "29.5" "61" "2" " 15. kerület, Újpalota " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "3 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "nincs megadva" NA
