"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "erkely" "panelprogram" "parkolohely_ara"
"1" "26.3" "44" "1" " 19. kerület, Kispest " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "2" "nincs megadva" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"2" "18.5" "17" "1" " 7. kerület, Rottenbiller utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "5" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "kelet" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA NA NA
"3" "31.9" "58" "2" " 4. kerület, Kordován tér 8. " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "külön helyiségben" "délkelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "van" "10 500 Ft/hó" "3 m²" "nincs megadva" NA
"4" "36.9" "65" "2" " 15. kerület, Bánkút utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délkelet" "udvari" "nincs megadva" "nem tetotéri" "önálló garázs - benne van az árban" NA NA "9 m²" NA NA
"5" "36.1" "39" "1" " 13. kerület, Visegrádi utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"6" "37.8" "56" "2" " 8. kerület, Józsefváros – Palotanegyed " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "dél" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"7" "52.4" "74" "2.5" " 16. kerület, Hársfavirág utca " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "délkelet" "kertre nézo" "igen" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" "van" NA "12 m²" NA "2.5 M Ft"
"8" "27.9" "62" "2" " 10. kerület, Harmat utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA "10 m²" NA NA
"9" "23.5" "53" "2" " 18. kerület, Csontváry Kosztka Tivadar utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "2" "10" "van" "nincs megadva" "távfutés" "igen" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "2 m²" "nem vett részt" NA
"10" "65" "90" "3" " 2. kerület, Frankel Leó út " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "nincs megadva" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA NA
"11" "39.8" "41" "1" " 7. kerület, Hernád utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "4" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA NA
"12" "25.9" "39" "1" " 9. kerület, Ifjúmunkás utca " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "5" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "délnyugat" "nincs megadva" "nem" "nincs megadva" "utca, közterület" "nincs" "34 000 Ft/hó" NA NA NA
"13" "32.4" "42" "2" " 14. kerület, Amerikai út " "felújított" NA "összkomfortos" "nincs megadva" "félemelet" "2" "nincs" "nincs megadva" "elektromos" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "van" NA NA NA NA
"14" "37" "59" "2" " 6. kerület, Vörösmarty utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "cserépkályha" "nem" "külön helyiségben" "nyugat" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA NA NA
"15" "76.9" "111" "3" " 6. kerület, Külso-Terézváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "elektromos" "nincs megadva" "nincs megadva" "északnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"16" "49.9" "76" "3" " 13. kerület, Angyalföld – Loportárdulo " "jó állapotú" "1950 elott" "komfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "északnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület" "nincs" NA NA NA NA
"17" "21.8" "35" "1" " 15. kerület, Nyírpalota út " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "nincs megadva" NA
"18" "36" "54" "2" " 16. kerület, Cinkota " "nincs megadva" "2019" "komfortos" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "megújuló energia, elektromos" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "tetotéri" "udvari beálló - benne van az árban" NA NA NA NA NA
"19" "69.2" "86" "3" " 5. kerület, Lipótváros " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délnyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"20" "99" "96" "3" " 5. kerület, Belváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "észak" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "5 m²" NA NA
