"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "rezsikoltseg" "parkolohely_ara"
"1" "77.5" "88" "2" " 11. kerület, Sasad " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nincs megadva" "külön helyiségben" "délkelet" "kertre nézo" "15 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA
"2" "94.5" "126" "3" " 2. kerület, Felhévíz " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "dél" "utcai" "7 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"3" "42.8" "52" "2" " 13. kerület, Szent László út " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "5" "van" "nincs megadva" "házközponti egyedi méréssel" "van" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "4.2 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"4" "34.1" "53" "2" " 13. kerület, Angyalföld – Béke–Tatai utcai lakótelep " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "4" "nincs megadva" "nincs megadva" "távfutés" NA "nincs megadva" "nincs megadva" "dél" "kertre nézo" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"5" "38.99" "51" "2" " 11. kerület, Kelenföld " "felújított" NA "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "van" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"6" "53.9" "83" "2" " 9. kerület, Boráros tér " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "délkelet" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"7" "25.8" "45" "2" " 19. kerület, Molnár József utca " "újszeru" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "4" "nincs" "nincs megadva" "házközponti" "van" "nem" "egy helyiségben" "északnyugat" "kertre nézo" NA "nem" "nincs megadva" "utca, közterület - ingyenes" NA NA NA
"8" "99.38" "158" "5" " 12. kerület, Böszörményi út " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "2" "6" "van" "3 m vagy magasabb" "gáz (cirko)" NA "igen" "külön és egyben is" "délkelet" "utcai" "10 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"9" "76.9" "83" "2" " 5. kerület, Belváros " "felújított" "1950 elott" "duplakomfortos" "AA" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko), padlófutés" "nincs" "nem" "egy helyiségben" "délnyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "12 000 Ft/hó" NA
"10" "34" "48" "1" " 11. kerület, Kelenvölgy " "jó állapotú" NA "összkomfortos" "nincs megadva" "5" "10" "van" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" NA "nincs megadva" "nincs megadva" "utca, közterület" "részt vett" NA NA
"11" "44" "56" "1" " 3. kerület, Csillaghegy " "újszeru" "2019" "összkomfortos" "BB" "földszint" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "igen" "egy helyiségben" "délnyugat" "kertre nézo" "11.99 m²" "igen" "nincs megadva" "teremgarázs hely - kötelezo megvenni" NA "30 000 Ft/hó" "4 M Ft"
"12" "39.9" "54" "2" " 13. kerület, Kárpát utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "nincs megadva" "10" "van" "3 m-nél alacsonyabb" "távfutés" "van" "nem" "külön helyiségben" "kelet" "panorámás" "3 m²" "nem" "nincs megadva" "utca, közterület - fizetos övezet" "nem vett részt" NA NA
"13" "71" "82" "3" " 13. kerület, Angyalföld – Loportárdulo " "nincs megadva" "2019" "duplakomfortos" "nincs megadva" "1" "6" "van" "3 m-nél alacsonyabb" "hoszivattyú" "van" "igen" "egy helyiségben" "nyugat" "utcai" "24 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA "4 M Ft"
"14" "47.5" "67" "2" " 8. kerület, Népszínház utca " "felújítandó" "1950 elott" "komfortos" "nincs megadva" "földszint" "6" "van" "3 m vagy magasabb" "gáz (konvektor), cserépkályha" "nincs" "nem" "külön helyiségben" "nyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"15" "71.9" "66" "3" " 6. kerület, Zichy Jeno utca 42. " "új építésu" "2019" "duplakomfortos" "nincs megadva" "4" "6" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "van" "nincs megadva" "külön és egyben is" "délkelet" "utcai" "4.5 m²" "nem" "nem tetotéri" "önálló garázs - megvásárolható" NA NA "4.5 M Ft"
"16" "58" "95" "3" " 9. kerület, Ülloi út " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "nincs megadva" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "20 000 Ft/hó" NA
"17" "67" "67" "3" " 6. kerület, Eötvös utca " "befejezetlen" NA "duplakomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "mennyezeti hutés-futés, hoszivattyú" "van" "nem" "egy helyiségben" "délnyugat" "udvari" "6 m²" "nem" "tetotéri" "utca, közterület - fizetos övezet" NA "15 000 Ft/hó" NA
"18" "23.3" "36" "1" " 4. kerület, Kordován tér " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés" "van" "igen" "egy helyiségben" "kelet" "kertre nézo" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "nem vett részt" NA NA
"19" "65.9" "86" "2" " 7. kerület, Erzsébet körút 3. " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "délnyugat" "utcai" NA "nem" "nem tetotéri" "teremgarázs hely - bérelheto" NA "45 000 Ft/hó" "23 000 Ft/hó"
"20" "61" "65" "2" " 13. kerület, Kresz Géza utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "6" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nem" "nincs megadva" "dél" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA "15 000 Ft/hó" NA
