"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "rezsikoltseg" "panelprogram" "legkondicionalo" "erkely" "parkolohely_ara"
"1" "44.9" "89" "3" " 7. kerület, Szinva utca " "közepes állapotú" "összkomfortos" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA NA NA
"2" "33.5" "45" "2" " 7. kerület, Külso-Erzsébetváros – Ligetváros " "felújított" "összkomfortos" "nincs megadva" "2" "4" "van" "nincs megadva" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "északnyugat" "utcai" "nem" "nem tetotéri" "nincs megadva" "1950 elott" "18 000 Ft/hó" NA NA NA NA
"3" "30.2" "57" "3" " 3. kerület, Szilke utca " "jó állapotú" "összkomfortos" "nincs megadva" "nincs megadva" "10" "van" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület" NA NA "nincs megadva" NA NA NA
"4" "74.9" "98" "4" " 2. kerület, Országút " "jó állapotú" "nincs megadva" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "1950 elott" "26 166 Ft/hó" NA NA NA NA
"5" "66.9" "60" "3" " 9. kerület, Ráday utca " "felújított" "nincs megadva" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"6" "90" "102" "3" " 7. kerület, Belso-Erzsébetváros " "felújítandó" "komfortos" "nincs megadva" "félemelet" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA NA
"7" "36.5" "50" "2" " 14. kerület, Zászlós utca " "újszeru" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "egy helyiségben" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" "2019" NA NA NA NA NA
"8" "165" "150" "4" " 13. kerület, Újpesti rakpart " "felújított" "összkomfortos" "nincs megadva" "4" "6" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "északkelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "1950 elott" NA NA "van" "3 m²" NA
"9" "76.9" "46" "2" " 6. kerület, Külso-Terézváros " "felújított" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délnyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA NA
"10" "79.9" "132" "4" " 8. kerület, Józsefváros – Magdolnanegyed " "jó állapotú" "nincs megadva" "nincs megadva" "5" "6" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "1950 elott" "19 000 Ft/hó" NA NA NA NA
