"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "rezsikoltseg" "parkolohely_ara"
"1" "37.9" "47" "2" " 18. kerület, Újpéteritelep " "újszeru" "2013" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nincs megadva" "egy helyiségben" "délnyugat" "panorámás" "32 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"2" "34.9" "52" "1" " 7. kerület, Középso-Erzsébetváros " "jó állapotú" NA "összkomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"3" "19.99" "37" "1" " 20. kerület, Vas Gereben utca " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"4" "43.9" "54" "2" " 6. kerület, Király utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "egy helyiségben" "dél" "udvari" NA "nem" "nem tetotéri" "nincs megadva" NA NA NA
"5" "49.8" "74" "2" " 3. kerület, Óbuda-Óváros " "felújított" NA "összkomfortos" "nincs megadva" "3" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "nincs megadva" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"6" "69.9" "94" "2" " 22. kerület, XI. utca " "újszeru" "2001-2010 között" "nincs megadva" "nincs megadva" "2" "4" "van" "nincs megadva" "házközponti" "van" "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "7.6 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - benne van az árban" NA NA NA
"7" "23.2" "35" "2" " 18. kerület, Havanna-lakótelep " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "7" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "nincs megadva" "kelet" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA
"8" "70.9" "102" "3" " 7. kerület, Belso-Erzsébetváros " "felújítandó" "1950 elott" "komfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nincs megadva" "külön helyiségben" "délkelet" "utcai" NA "nincs megadva" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"9" "32.9" "50" "2" " 3. kerület, Boglár utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "külön helyiségben" "délnyugat" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" "20 000 Ft/hó" NA
"10" "47" "72" "3" " 9. kerület, Epreserdo utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "nincs" "nem" "külön helyiségben" "nincs megadva" "kertre nézo" "4 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA
