"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "panelprogram"
"1" "79.9" "92" "3" " 12. kerület, Mártonhegy " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "délkelet" "panorámás" "8 m²" "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA NA
"2" "180" "716" "20" " 11. kerület, Lágymányos – Muegyetem környéke " "nincs megadva" NA "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"3" "17.8" "39" "1" " 20. kerület, Pacsirtatelep " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "nincs megadva" "nincs megadva" NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"4" "44.49" "85" "2" " 13. kerület, Frangepán utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "félemelet" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "délnyugat" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA
"5" "118" "105" "4" " 12. kerület, Virányos " "nincs megadva" "1950 elott" "luxus" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "nincs megadva" "külön és egyben is" "délkelet" "panorámás" "8 m²" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA
"6" "259" "265" "8" " 2. kerület, Országút " "nincs megadva" NA "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "10 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"7" "34.99" "31" "1" " 11. kerület, Albertfalva – Kondorosi lakónegyed " "jó állapotú" "2016" "összkomfortos" "nincs megadva" "5" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nincs megadva" "egy helyiségben" "nyugat" "kertre nézo" "8 m²" "nincs megadva" "nem tetotéri" "utca, közterület" "8 000 Ft/hó" NA
"8" "650" "386" "6" " 6. kerület, Bajza utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "1" "3" "van" "3 m vagy magasabb" "gáz (cirko), padlófutés" "van" "nem" "külön és egyben is" "nincs megadva" "utcai" "10 m²" "nem" "nincs megadva" "utca, közterület - fizetos övezet" NA NA
"9" "300.46" "131" "4" " 5. kerület, Vörösmarty tér " "felújított" "1950 elott" "luxus" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "nincs megadva" "külön és egyben is" "nincs megadva" "panorámás" NA "nem" "nem tetotéri" "nincs megadva" "100 000 Ft/hó" NA
"10" "175" "180" "6" " 2. kerület, Törökvész " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "4" "nincs megadva" "3 m vagy magasabb" "egyéb" NA "nincs megadva" "nincs megadva" "délkelet" "utcai" "10 m²" "nincs megadva" "nincs megadva" "önálló garázs" NA NA
