"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "legkondicionalo" "erkely" "rezsikoltseg" "parkolohely_ara"
"1" "23.49" "51" "2" " 17. kerület, Rákoskeresztúri lakótelep " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "nincs megadva" "délnyugat" "utcai" "nem" "nem tetotéri" "részt vett" "utca, közterület" NA NA NA NA
"2" "86.9" "82" "3" " 12. kerület, Németvölgy " "jó állapotú" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "cserépkályha" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA
"3" "81.9" "107" "3" " 6. kerület, Szív utca " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "legfelso emelet, nem tetotéri" NA "nincs megadva" NA NA NA NA
"4" "31.9" "52" "2" " 9. kerület, Börzsöny utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "4" "nincs megadva" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "egy helyiségben" "nincs megadva" "kertre nézo" "nem" NA NA "utca, közterület - ingyenes" "van" "4 m²" NA NA
"5" "49.9" "77" "3" " 8. kerület, Benyovszky Móric utca " "közepes állapotú" NA "komfortos" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor), cserépkályha" "nem" "külön helyiségben" "nincs megadva" "utcai" "igen" "legfelso emelet, nem tetotéri" NA "utca, közterület - fizetos övezet" "nincs" NA NA NA
"6" "19.9" "30" "2" " 8. kerület, Lujza utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "elektromos" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA NA
"7" "49.95" "85" "3" " 7. kerület, Murányi utca " "felújított" NA "összkomfortos" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA
"8" "74.8" "90" "3" " 3. kerület, Szépvölgyi út " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "földszint" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "egy helyiségben" "nyugat" "kertre nézo" "nem" "nem tetotéri" NA "utca, közterület - ingyenes" "van" NA "40 000 Ft/hó" NA
"9" "25.9" "40" "1" " 14. kerület, Istvánmezo " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "nincs megadva" "udvari" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "nincs" NA NA NA
"10" "46.5" "47" "2" " 5. kerület, Havas utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" NA "utca, közterület" "nincs" NA NA NA
"11" "59.9" "80" "4" " 9. kerület, Lónyay utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "délnyugat" "utcai" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA NA NA NA
"12" "31.5" "50" "2" " 14. kerület, Alsórákos – Nagy Lajos király úti lakótelep " "közepes állapotú" NA "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "északnyugat" "nincs megadva" "nincs megadva" NA NA "teremgarázs hely" NA NA NA NA
"13" "27.2" "68" "3" " 10. kerület, Kobánya – Újhegyi lakótelep " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA
"14" "29.9" "61" "2" " 4. kerület, Árpád út " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nincs megadva" NA "udvari beálló" NA NA NA NA
"15" "34.49" "64" "3" " 15. kerület, Nádastó park " "jó állapotú" "1950-1980 között" "összkomfortos" "DD" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "külön helyiségben" "délnyugat" "panorámás" "nem" "nem tetotéri" "nem vett részt" "utca, közterület - ingyenes" "nincs" "3 m²" "35 000 Ft/hó" NA
"16" "188.87" "111" "3" " 12. kerület, Kútvölgy " "befejezetlen" NA "duplakomfortos" "nincs megadva" "1" "3" "van" "nincs megadva" "hoszivattyú" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "nem" "nem tetotéri" NA "teremgarázs hely - kötelezo megvenni" "van" "32 m²" NA "7 M Ft"
"17" "81.85" "94" "4" " 3. kerület, Óbuda – Filatorigát " "befejezetlen" NA "összkomfortos" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko), házközponti" "igen" "külön és egyben is" "nincs megadva" "nincs megadva" "nem" "nem tetotéri" NA "teremgarázs hely - megvásárolható" NA "9 m²" NA "3.85 M Ft"
"18" "67.9" "88" "3" " 9. kerület, Mester utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délkelet" "kertre nézo" "nem" "nincs megadva" NA "utca, közterület - fizetos övezet" NA "2 m²" NA NA
"19" "36.9" "71" "2" " 4. kerület, Szigeti József utca " "felújítandó" NA "összkomfortos" "nincs megadva" "8" "10" "van" "nincs megadva" "házközponti" "nincs megadva" "külön helyiségben" "dél" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"20" "39" "28" "1" " 8. kerület, Corvin sétány " "újszeru" "2019" "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "házközponti" "igen" "egy helyiségben" "nyugat" "utcai" "nem" "nincs megadva" NA "nincs megadva" NA "7.4 m²" NA NA
