"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "legkondicionalo" "rezsikoltseg" "parkolohely_ara"
"1" "44" "58" "2" " 11. kerület, Sasadi út " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "6 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"2" "32.8" "65" "3" " 3. kerület, Óbudai lakótelep " "felújítandó" "1981-2000 között" "összkomfortos" "nincs megadva" "nincs megadva" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "igen" "külön helyiségben" "délnyugat" "panorámás" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"3" "28.5" "31" "1" " 7. kerület, Dohány utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "északkelet" "udvari" NA "nem" "nem tetotéri" "utca, közterület" NA "van" NA NA
"4" "44.9" "66" "3" " 3. kerület, Folyamor utca " "felújított" "1981-2000 között" "nincs megadva" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "kertre nézo" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" "részt vett" NA NA NA
"5" "39.9" "37" "2" " 6. kerület, Király utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "északkelet" "udvari" NA "nem" "nem tetotéri" "utca, közterület" NA "nincs" NA NA
"6" "33.5" "44" "1" " 6. kerület, Csengery utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "délkelet" "udvari" NA "nem" "nem tetotéri" "utca, közterület" NA "nincs" NA NA
"7" "34.99" "56" "2" " 15. kerület, Mézeskalács tér " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "nincs megadva" "igen" "külön helyiségben" "nyugat" "panorámás" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "nincs megadva" "van" "40 000 Ft/hó" NA
"8" "17.9" "41" "1" " 10. kerület, Kobánya – Óhegy " "felújítandó" "1981-2000 között" "nincs megadva" "nincs megadva" "földszint" "4" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"9" "44.99" "49" "2" " 9. kerület, Vaskapu utca " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "6" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "nincs megadva" "nyugat" "kertre nézo" "10 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"10" "45.9" "46" "1" " 1. kerület, Víziváros – Váralja " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "udvari" NA "nincs megadva" "legfelso emelet, nem tetotéri" "nincs megadva" NA NA NA NA
"11" "51.9" "63" "3" " 14. kerület, Ilosvai Selymes utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön helyiségben" "északnyugat" "utcai" "4 m²" "nem" "nem tetotéri" "udvari beálló - kötelezo megvenni" NA "van" NA "2 M Ft"
"12" "29.9" "51" "2" " 3. kerület, Békásmegyeri lakótelep Duna felol " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "nincs megadva" "kelet" "kertre nézo" NA "nem" "nem tetotéri" "utca, közterület" "nincs megadva" NA NA NA
"13" "25.4" "51" "2" " 3. kerület, Békásmegyeri lakótelep hegy felol " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "délkelet" "panorámás" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs megadva" "van" "30 000 Ft/hó" NA
