"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "rezsikoltseg" "erkely"
"1" "33.4" "61" "2" " 4. kerület, Lakkozó utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "van" "nem" "külön helyiségben" "nincs megadva" "udvari" "nem" "nem tetotéri" "részt vett" "nincs megadva" NA NA
"2" "42.9" "68" "2" " 9. kerület, Mester utca 33-35 " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "6" "van" "nincs megadva" "gáz (cirko)" NA "igen" "egy helyiségben" "nincs megadva" "udvari" "nem" "nincs megadva" NA "nincs megadva" "18 Ft/hó" NA
"3" "18.8" "27" "1" " 19. kerület, Kispest-Óváros " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "van" "nem" "egy helyiségben" "délnyugat" "utcai" "igen" "nem tetotéri" NA "utca, közterület - ingyenes" NA NA
"4" "21.9" "36" "1" " 10. kerület, Szövoszék utca 12. " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "6" "10" "van" "nincs megadva" "távfutés" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "részt vett" "utca, közterület" "20 000 Ft/hó" NA
"5" "53.99" "78" "3" " 8. kerület, Kiss József utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "északnyugat" "utcai" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA NA
"6" "26.8" "51" "2" " 3. kerület, Madzsar József utca 5. " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "8" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "igen" "egy helyiségben" "dél" "panorámás" "nem" "nem tetotéri" "részt vett" "utca, közterület - ingyenes" "13 400 Ft/hó" "6 m²"
"7" "63.9" "66" "2" " 2. kerület, Frankel Leó út " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "5" "8" "van" "3 m-nél alacsonyabb" "házközponti" "nincs" "nem" "külön helyiségben" "kelet" "utcai" "nem" "nem tetotéri" NA "utca, közterület" NA "4 m²"
"8" "44.9" "48" "2" " 7. kerület, Wesselényi utca " "felújítandó" NA "komfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" NA "utca, közterület" NA NA
"9" "89" "89" "3" " 12. kerület, Kissvábhegy " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA
"10" "23" "29" "1" " 10. kerület, Gergely utca 116. " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"11" "35.9" "50" "1" " 14. kerület, Alsórákos " "nincs megadva" "2001-2010 között" "összkomfortos" "CC" "5" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "igen" "egy helyiségben" "dél" "utcai" "nem" "tetotéri" NA "utca, közterület - ingyenes" "25 000 Ft/hó" "5 m²"
"12" "25.3" "32" "1" " 3. kerület, Ágoston utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "nem" "egy helyiségben" "nyugat" "panorámás" "nincs megadva" "nincs megadva" "nem vett részt" "utca, közterület - fizetos övezet" NA "4 m²"
