"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "panelprogram" "erkely" "parkolohely_ara"
"1" "19.99" "26" "1" " 8. kerület, Kisfaludy utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA NA
"2" "12.5" "22" "1" " 21. kerület, Színesfém utca " "felújított" "1950-1980 között" "komfortos" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"3" "65.9" "74" "3" " 2. kerület, Országút " "felújított" NA "összkomfortos" "nincs megadva" "félemelet" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "van" NA NA NA NA
"4" "23.5" "36" "1" " 21. kerület, Béke tér " "felújított" NA "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA NA
"5" "48.4" "66" "3" " 8. kerület, Horánszky utca 27. " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "nincs megadva" "3" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "kelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA "7 000 Ft/hó" NA NA NA
"6" "31.2" "53" "1" " 7. kerület, Damjanich utca " "felújítandó" NA "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA NA NA NA
"7" "30.99" "64" "3" " 22. kerület, Nagytétényi út " "felújított" NA "összkomfortos" "nincs megadva" "nincs megadva" "földszintes" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "nincs megadva" "udvari" "igen" "nincs megadva" "utca, közterület - ingyenes" "nincs" NA NA NA NA
"8" "25.9" "27" "1" " 9. kerület, Epreserdo utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "5" "nincs megadva" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "dél" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"9" "27.8" "57" "2" " 3. kerület, Gyuru utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "nincs megadva" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA "nincs megadva" NA NA
"10" "42.49" "90" "2" " 15. kerület, Bánkút utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "igen" "nincs megadva" "önálló garázs - benne van az árban" NA NA NA NA NA
"11" "59" "123" "3" " 14. kerület, Thököly út " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "délkelet" "utcai" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" "nincs" "30 000 Ft/hó" NA "3 m²" NA
"12" "23.99" "35" "1" " 8. kerület, Nagy Fuvaros utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "nincs megadva" "gáz (cirko)" "nem" "egy helyiségben" "északnyugat" "udvari" "nem" "nincs megadva" "utca, közterület" "nincs" NA NA NA NA
"13" "25" "33" "1" " 14. kerület, Kiszugló " "felújított" NA "nincs megadva" "nincs megadva" "földszint" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "igen" "egy helyiségben" "délnyugat" "kertre nézo" "igen" "nincs megadva" "utca, közterület" "nincs" NA NA "14 m²" NA
"14" "45.9" "89" "4" " 14. kerület, Padlizsán utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "4" "4" "nincs" "nincs megadva" "gáz (cirko)" "nem" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "tetotéri" "utca, közterület" NA NA NA NA NA
"15" "64.9" "77" "2" " 9. kerület, Belso-Ferencváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "6" "van" "3 m vagy magasabb" "házközponti" "igen" "külön és egyben is" "kelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA "38 000 Ft/hó" NA "3 m²" NA
"16" "42.5" "87" "3" " 14. kerület, Mexikói út " "felújított" "1950-1980 között" "duplakomfortos" "nincs megadva" "szuterén" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nem" "nincs megadva" "önálló garázs - benne van az árban" "nincs" "30 000 Ft/hó" NA NA NA
"17" "18.9" "68" "2" " 4. kerület, Újpest-Központ " "felújítandó" "1950-1980 között" "komfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "délkelet" "kertre nézo" "igen" "nincs megadva" "nincs megadva" NA NA NA NA NA
"18" "33.9" "56" "2" " 14. kerület, Thököly út " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "kelet" "udvari" "igen" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA NA NA NA
"19" "165" "143" "4" " 2. kerület, Orsó utca " "újszeru" "2001-2010 között" "duplakomfortos" "nincs megadva" "földszint" "3" "van" "nincs megadva" "házközponti" "nincs megadva" "külön helyiségben" "dél" "kertre nézo" "igen" "nem tetotéri" "önálló garázs - benne van az árban" NA "85 000 Ft/hó" NA NA NA
"20" "50" "80" "3" " 14. kerület, Alsórákos " "felújított" "1981-2000 között" "összkomfortos" "D" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "dél" "kertre nézo" "nincs megadva" "nincs megadva" "teremgarázs hely - kötelezo megvenni" "van" "50 000 Ft/hó" NA "5 m²" "3 M Ft"
