"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "legkondicionalo"
"1" "32.9" "48" "2" " 3. kerület, Vörösvári út " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés" "38 000 Ft/hó" "nincs megadva" "külön helyiségben" "dél" "utcai" "4 m²" "nincs megadva" "nincs megadva" "részt vett" "utca, közterület - fizetos övezet" NA
"2" "26.99" "45" "2" " 14. kerület, Csáktornya utca " "felújított" NA "összkomfortos" "nincs megadva" "8" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "22 000 Ft/hó" "nem" "külön helyiségben" "nyugat" "panorámás" "3 m²" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA
"3" "49.9" "62" "3" " 11. kerület, Takács Menyhért utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "padlófutés, elektromos" NA "nem" "egy helyiségben" "kelet" "kertre nézo" "55 m²" "igen" "nincs megadva" NA "utca, közterület - ingyenes" "nincs"
"4" "75.9" "89" "4" " 2. kerület, Gábor Áron utca " "felújítandó" NA "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "7 m²" "nincs megadva" "nincs megadva" NA "teremgarázs hely - benne van az árban" NA
"5" "34.9" "51" "2" " 3. kerület, Kaszásdulo utca " "felújított" NA "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "igen" "külön helyiségben" "kelet" "panorámás" "4 m²" "nem" "nem tetotéri" "nem vett részt" "utca, közterület - ingyenes" NA
"6" "61.9" "77" "2" " 11. kerület, Lágymányosi utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "5" "van" "nincs megadva" "gáz (konvektor)" NA "nem" "külön és egyben is" "északkelet" "utcai" NA "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA
"7" "83" "110" "4" " 2. kerület, Frankel Leó út " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "50 000 Ft/hó" "nincs megadva" "külön és egyben is" "délkelet" "utcai" NA "nincs megadva" "nincs megadva" NA "utca, közterület - fizetos övezet" NA
"8" "22.9" "36" "1" " 15. kerület, Neptun utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés" "30 000 Ft/hó" "nincs megadva" "nincs megadva" "délnyugat" "panorámás" NA "nincs megadva" "nincs megadva" "részt vett" "nincs megadva" NA
"9" "49" "88" "2" " 15. kerület, Rákospalota " "nincs megadva" "2019" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" "3 m²" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA
"10" "42" "65" "2" " 7. kerület, Dózsa György út " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "38 000 Ft/hó" "nem" "külön helyiségben" "dél" "utcai" NA "nem" "nem tetotéri" NA "utca, közterület - ingyenes" "nincs"
