"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "panelprogram"
"1" "49.99" "89" "2" " 10. kerület, Ihász utca " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "15 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"2" "33.5" "53" "2" " 15. kerület, Szilas park " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"3" "59.9" "75" "2" " 16. kerület, Mátyásföld – Petofikert " "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "18 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"4" "28.9" "53" "2" " 16. kerület, Újmátyásföld " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "5 m²" "nincs megadva" NA "nincs megadva" NA NA NA
"5" "28.9" "32" "1" " 10. kerület, Gergely utca 128. " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "6" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "5 m²" "nem" "nincs megadva" "udvari beálló - benne van az árban" NA NA NA
"6" "120" "61" "2" " 5. kerület, Belváros " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "nincs megadva" "kelet" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"7" "66" "60" "2" " 5. kerület, Balassi Bálint utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "délnyugat" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA
"8" "26" "50" "2" " 3. kerület, Békásmegyeri lakótelep hegy felol " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "9" "10" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "délnyugat" "panorámás" "3 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "10 000 Ft/hó" "nincs megadva"
"9" "39.9" "71" "2" " 8. kerület, Népszínház utca " "felújítandó" NA "komfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"10" "39.9" "46" "1" " 12. kerület, Maros utca " "felújítandó" NA "komfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "elektromos" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "3 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
